A;B;Y;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B1;1;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;106;101;105
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A1;B2;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B1;0;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;56;50;0;
A2;B2;1;;;;50;55;0;
A2;B2;1;;;;0;0;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
A2;B2;1;;;;;;;
