"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","abl_model"
"mammographic",1,3.1519,17.0288,23.2372,0.356,63.4861,"no_abl"
"mammographic",1,3.1519,17.0288,23.2372,0.314,64.125,"abl_conf"
"mammographic",1,3.1519,17.0288,23.2372,0.329,63.2895,"abl_supp"
"mammographic",1,3.1519,17.0288,23.2372,0.31,61.7717,"abl_length"
"mammographic",1,3.1519,17.0288,23.2372,0.317,62.7821,"abl_mod"
"mammographic",1,3.1519,17.0288,23.2372,0.268,62.1075,"abl_acc"
"mammographic",1,3.1519,17.0288,23.2372,0.514,62.5042,"abl_min_cov"
"mammographic",1,3.1519,17.0288,23.2372,0.42,62.4349,"abl_max_cov"
"mammographic",1,3.1519,17.0288,23.2372,0.284,62.1532,"abl_overlap"
"mammographic",1,3.1519,4.8164,167.0023,3.861,347.757,"abl_preselect"
"mammographic",2,3.0756,16.8677,24.3738,0.921,66.9404,"no_abl"
"mammographic",2,3.0756,16.8677,24.3738,0.958,65.8854,"abl_conf"
"mammographic",2,3.0756,16.8677,24.3738,1.038,66.5324,"abl_supp"
"mammographic",2,3.0756,16.8677,24.3738,1.203,66.5211,"abl_length"
"mammographic",2,3.0756,16.8677,24.3738,0.734,66.0424,"abl_mod"
"mammographic",2,3.0756,16.8677,24.3738,0.843,67.5759,"abl_acc"
"mammographic",2,3.0756,16.8677,24.3738,0.547,65.9292,"abl_min_cov"
"mammographic",2,3.0756,16.8677,24.3738,3.593,68.6057,"abl_max_cov"
"mammographic",2,3.0756,16.8677,24.3738,0.883,65.8792,"abl_overlap"
"mammographic",2,3.0756,4.5609,159.6241,18.916,348.6553,"abl_preselect"
"mammographic",3,3.0251,16.9735,24.1216,2.171,66.4977,"no_abl"
"mammographic",3,3.0251,16.9735,24.1216,1.726,66.7002,"abl_conf"
"mammographic",3,3.0251,16.9735,24.1216,2.734,68.396,"abl_supp"
"mammographic",3,3.0251,16.9735,24.1216,2.917,67.8177,"abl_length"
"mammographic",3,3.0251,16.9735,24.1216,2.29,66.9425,"abl_mod"
"mammographic",3,3.0251,16.9735,24.1216,0.386,65.8323,"abl_acc"
"mammographic",3,3.0251,16.9735,24.1216,0.448,64.4218,"abl_min_cov"
"mammographic",3,3.0251,16.9735,24.1216,6.979,71.675,"abl_max_cov"
"mammographic",3,3.0251,16.9735,24.1216,1.852,66.2146,"abl_overlap"
"mammographic",3,3.0251,4.8513,171.4241,13.263,346.3954,"abl_preselect"
"mammographic",4,3.183,16.8028,20.403,0.359,55.9338,"no_abl"
"mammographic",4,3.183,16.8028,20.403,0.444,54.9747,"abl_conf"
"mammographic",4,3.183,16.8028,20.403,0.304,55.1985,"abl_supp"
"mammographic",4,3.183,16.8028,20.403,0.348,55.4684,"abl_length"
"mammographic",4,3.183,16.8028,20.403,0.389,55.2824,"abl_mod"
"mammographic",4,3.183,16.8028,20.403,0.322,55.0183,"abl_acc"
"mammographic",4,3.183,16.8028,20.403,0.564,55.6316,"abl_min_cov"
"mammographic",4,3.183,16.8028,20.403,0.416,55.5945,"abl_max_cov"
"mammographic",4,3.183,16.8028,20.403,0.434,56.1119,"abl_overlap"
