"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","abl_model"
"cryotherapy",1,1.1016,1.9806,2.1839,0.743,5.3436,"no_abl"
"cryotherapy",1,1.1016,1.9806,2.1839,0.7,5.2276,"abl_conf"
"cryotherapy",1,1.1016,1.9806,2.1839,0.719,5.3184,"abl_supp"
"cryotherapy",1,1.1016,1.9806,2.1839,0.516,5.1647,"abl_length"
"cryotherapy",1,1.1016,1.9806,2.1839,0.624,5.2221,"abl_mod"
"cryotherapy",1,1.1016,1.9806,2.1839,0.052,4.6722,"abl_acc"
"cryotherapy",1,1.1016,1.9806,2.1839,0.051,4.7001,"abl_min_cov"
"cryotherapy",1,1.1016,1.9806,2.1839,0.845,5.5155,"abl_max_cov"
"cryotherapy",1,1.1016,1.9806,2.1839,0.879,5.5002,"abl_overlap"
"cryotherapy",1,1.1016,1.2382,4.979,0.911,12.5144,"abl_preselect"
"cryotherapy",2,0.9099,1.7957,2.0528,0.736,5.793,"no_abl"
"cryotherapy",2,0.9099,1.7957,2.0528,1.026,6.0443,"abl_conf"
"cryotherapy",2,0.9099,1.7957,2.0528,0.898,6.0307,"abl_supp"
"cryotherapy",2,0.9099,1.7957,2.0528,0.994,6.0445,"abl_length"
"cryotherapy",2,0.9099,1.7957,2.0528,1.031,6.0687,"abl_mod"
"cryotherapy",2,0.9099,1.7957,2.0528,0.377,5.3803,"abl_acc"
"cryotherapy",2,0.9099,1.7957,2.0528,0.065,5.0648,"abl_min_cov"
"cryotherapy",2,0.9099,1.7957,2.0528,1.312,6.365,"abl_max_cov"
"cryotherapy",2,0.9099,1.7957,2.0528,1.092,6.121,"abl_overlap"
"cryotherapy",2,0.9099,1.1389,4.8,1.15,12.5187,"abl_preselect"
"cryotherapy",3,0.9061,1.6753,1.7672,0.754,4.969,"no_abl"
"cryotherapy",3,0.9061,1.6753,1.7672,0.486,4.7186,"abl_conf"
"cryotherapy",3,0.9061,1.6753,1.7672,0.612,4.825,"abl_supp"
"cryotherapy",3,0.9061,1.6753,1.7672,0.868,5.0509,"abl_length"
"cryotherapy",3,0.9061,1.6753,1.7672,0.643,4.8835,"abl_mod"
"cryotherapy",3,0.9061,1.6753,1.7672,0.079,4.4218,"abl_acc"
"cryotherapy",3,0.9061,1.6753,1.7672,0.074,4.3228,"abl_min_cov"
"cryotherapy",3,0.9061,1.6753,1.7672,0.544,4.8476,"abl_max_cov"
"cryotherapy",3,0.9061,1.6753,1.7672,0.678,4.9424,"abl_overlap"
"cryotherapy",3,0.9061,1.2102,4.1546,1.49,11.8092,"abl_preselect"
"cryotherapy",4,1.154,2.0335,2.1023,0.379,5.4447,"no_abl"
"cryotherapy",4,1.154,2.0335,2.1023,0.286,5.372,"abl_conf"
"cryotherapy",4,1.154,2.0335,2.1023,0.299,5.414,"abl_supp"
"cryotherapy",4,1.154,2.0335,2.1023,0.629,5.8732,"abl_length"
"cryotherapy",4,1.154,2.0335,2.1023,0.473,5.5735,"abl_mod"
"cryotherapy",4,1.154,2.0335,2.1023,0.043,5.2456,"abl_acc"
"cryotherapy",4,1.154,2.0335,2.1023,0.144,5.2476,"abl_min_cov"
"cryotherapy",4,1.154,2.0335,2.1023,1.078,6.1705,"abl_max_cov"
"cryotherapy",4,1.154,2.0335,2.1023,0.372,5.5527,"abl_overlap"
"cryotherapy",4,1.154,1.3279,5.6789,1.684,15.0308,"abl_preselect"
"cryotherapy",5,0.8788,1.6985,2.0013,0.549,5.4003,"no_abl"
"cryotherapy",5,0.8788,1.6985,2.0013,0.521,5.2628,"abl_conf"
"cryotherapy",5,0.8788,1.6985,2.0013,0.482,5.004,"abl_supp"
"cryotherapy",5,0.8788,1.6985,2.0013,0.493,4.9789,"abl_length"
"cryotherapy",5,0.8788,1.6985,2.0013,0.349,4.9394,"abl_mod"
"cryotherapy",5,0.8788,1.6985,2.0013,0.376,5.1477,"abl_acc"
"cryotherapy",5,0.8788,1.6985,2.0013,0.064,4.4488,"abl_min_cov"
"cryotherapy",5,0.8788,1.6985,2.0013,0.683,5.0731,"abl_max_cov"
"cryotherapy",5,0.8788,1.6985,2.0013,0.451,4.8586,"abl_overlap"
"cryotherapy",5,0.8788,1.0378,4.4577,1.065,11.8345,"abl_preselect"
"cryotherapy",6,1.0528,2.005,2.0977,0.201,5.2805,"no_abl"
"cryotherapy",6,1.0528,2.005,2.0977,0.391,5.3819,"abl_conf"
"cryotherapy",6,1.0528,2.005,2.0977,0.157,5.2826,"abl_supp"
"cryotherapy",6,1.0528,2.005,2.0977,0.249,5.3298,"abl_length"
"cryotherapy",6,1.0528,2.005,2.0977,0.207,5.2933,"abl_mod"
"cryotherapy",6,1.0528,2.005,2.0977,0.154,5.2646,"abl_acc"
"cryotherapy",6,1.0528,2.005,2.0977,0.041,5.027,"abl_min_cov"
"cryotherapy",6,1.0528,2.005,2.0977,0.417,5.4744,"abl_max_cov"
"cryotherapy",6,1.0528,2.005,2.0977,0.366,5.4428,"abl_overlap"
"cryotherapy",6,1.0528,1.233,5.3632,0.45,12.6731,"abl_preselect"
