"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max","abl_model"
"banana",1,"OptimalRules",1.86,1,2,2,2,2,"no_abl"
"banana",1,"OPTSTEL",1.86,1,2,2,2,2,"no_abl"
"banana",1,"OptimalRules",1.86,1,2,2,2,2,"abl_conf"
"banana",1,"OPTSTEL",1.86,1,2,2,2,2,"abl_conf"
"banana",1,"OptimalRules",1.86,1,2,2,2,2,"abl_supp"
"banana",1,"OPTSTEL",1.86,1,2,2,2,2,"abl_supp"
"banana",1,"OptimalRules",1.86,1,2,2,2,2,"abl_length"
"banana",1,"OPTSTEL",1.86,1,2,2,2,2,"abl_length"
"banana",1,"OptimalRules",1.86,1,2,2,2,2,"abl_mod"
"banana",1,"OPTSTEL",1.86,1,2,2,2,2,"abl_mod"
"banana",1,"OptimalRules",1,1,1,1,1,1,"abl_acc"
"banana",1,"OPTSTEL",1,1,1,1,1,1,"abl_acc"
"banana",1,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"banana",1,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"banana",1,"OptimalRules",1.86,1,2,2,2,2,"abl_max_cov"
"banana",1,"OPTSTEL",1.86,1,2,2,2,2,"abl_max_cov"
"banana",1,"OptimalRules",1.86,1,2,2,2,2,"abl_overlap"
"banana",1,"OPTSTEL",1.86,1,2,2,2,2,"abl_overlap"
"banana",1,"OptimalRules",1.86,1,2,2,2,2,"abl_preselect"
"banana",1,"OPTSTEL",1.86,1,2,2,2,2,"abl_preselect"
"banana",2,"OptimalRules",1.86,1,2,2,2,2,"no_abl"
"banana",2,"OPTSTEL",1.86,1,2,2,2,2,"no_abl"
"banana",2,"OptimalRules",1.86,1,2,2,2,2,"abl_conf"
"banana",2,"OPTSTEL",1.86,1,2,2,2,2,"abl_conf"
"banana",2,"OptimalRules",1.86,1,2,2,2,2,"abl_supp"
"banana",2,"OPTSTEL",1.86,1,2,2,2,2,"abl_supp"
"banana",2,"OptimalRules",1.86,1,2,2,2,2,"abl_length"
"banana",2,"OPTSTEL",1.86,1,2,2,2,2,"abl_length"
"banana",2,"OptimalRules",1.86,1,2,2,2,2,"abl_mod"
"banana",2,"OPTSTEL",1.86,1,2,2,2,2,"abl_mod"
"banana",2,"OptimalRules",1,1,1,1,1,1,"abl_acc"
"banana",2,"OPTSTEL",1,1,1,1,1,1,"abl_acc"
"banana",2,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"banana",2,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"banana",2,"OptimalRules",1.86,1,2,2,2,2,"abl_max_cov"
"banana",2,"OPTSTEL",1.86,1,2,2,2,2,"abl_max_cov"
"banana",2,"OptimalRules",1.86,1,2,2,2,2,"abl_overlap"
"banana",2,"OPTSTEL",1.86,1,2,2,2,2,"abl_overlap"
"banana",2,"OptimalRules",1.86,1,2,2,2,2,"abl_preselect"
"banana",2,"OPTSTEL",1.86,1,2,2,2,2,"abl_preselect"
"banana",3,"OptimalRules",1.86,1,2,2,2,2,"no_abl"
"banana",3,"OPTSTEL",1.86,1,2,2,2,2,"no_abl"
"banana",3,"OptimalRules",1.86,1,2,2,2,2,"abl_conf"
"banana",3,"OPTSTEL",1.86,1,2,2,2,2,"abl_conf"
"banana",3,"OptimalRules",1.86,1,2,2,2,2,"abl_supp"
