"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max","abl_model"
"glass",1,"OptimalRules",4.26,2,3.5,4,5,6,"no_abl"
"glass",1,"OPTSTEL",4.29,2,4,4,5,6,"no_abl"
"glass",1,"OptimalRules",4.26,2,3.5,5,5,6,"abl_conf"
"glass",1,"OPTSTEL",4.41,2,4,5,5,6,"abl_conf"
"glass",1,"OptimalRules",4.3,2,3.5,4,5,6,"abl_supp"
"glass",1,"OPTSTEL",4.26,2,3.5,4,5,6,"abl_supp"
"glass",1,"OptimalRules",4.26,2,3.5,4,5,6,"abl_length"
"glass",1,"OPTSTEL",4.29,2,4,4,5,6,"abl_length"
"glass",1,"OptimalRules",4.26,2,3.5,4,5,6,"abl_mod"
"glass",1,"OPTSTEL",4.29,2,4,4,5,6,"abl_mod"
"glass",1,"OptimalRules",4,2,3.5,4,5,6,"abl_acc"
"glass",1,"OPTSTEL",4,2,3.25,4,5,6,"abl_acc"
"glass",1,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"glass",1,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"glass",1,"OptimalRules",4.26,2,3.5,4,5,6,"abl_max_cov"
"glass",1,"OPTSTEL",4.29,2,4,4,5,6,"abl_max_cov"
"glass",1,"OptimalRules",4.26,2,3.5,4,5,6,"abl_overlap"
"glass",1,"OPTSTEL",4.29,2,4,4,5,6,"abl_overlap"
"glass",1,"OptimalRules",4.3,2,3,4,5,8,"abl_preselect"
"glass",1,"OPTSTEL",4.44,2,4,4.5,5,8,"abl_preselect"
"glass",2,"OptimalRules",4.25,2,3.75,4,5,6,"no_abl"
"glass",2,"OPTSTEL",4.32,2,4,4,5,6,"no_abl"
"glass",2,"OptimalRules",4.33,2,4,4,5,6,"abl_conf"
"glass",2,"OPTSTEL",4.26,2,4,4,5,6,"abl_conf"
"glass",2,"OptimalRules",4.21,2,3.75,4,5,6,"abl_supp"
"glass",2,"OPTSTEL",4.26,2,4,4,5,6,"abl_supp"
"glass",2,"OptimalRules",4.29,2,4,4,5,6,"abl_length"
"glass",2,"OPTSTEL",4.39,2,4,4,5,6,"abl_length"
"glass",2,"OptimalRules",4.25,2,3.75,4,5,6,"abl_mod"
"glass",2,"OPTSTEL",4.32,2,4,4,5,6,"abl_mod"
"glass",2,"OptimalRules",4.18,3,3.5,4,5,6,"abl_acc"
"glass",2,"OPTSTEL",4.18,3,3.5,4,5,6,"abl_acc"
"glass",2,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"glass",2,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"glass",2,"OptimalRules",4.25,2,3.75,4,5,6,"abl_max_cov"
"glass",2,"OPTSTEL",4.32,2,4,4,5,6,"abl_max_cov"
"glass",2,"OptimalRules",4.25,2,3.75,4,5,6,"abl_overlap"
"glass",2,"OPTSTEL",4.32,2,4,4,5,6,"abl_overlap"
"glass",2,"OptimalRules",4.1,2,3,4,5,6,"abl_preselect"
"glass",2,"OPTSTEL",4.32,2,4,4,5,6,"abl_preselect"
"glass",3,"OptimalRules",4.12,2,3,4,5,6,"no_abl"
"glass",3,"OPTSTEL",4.47,3,4,4,5,6,"no_abl"
"glass",3,"OptimalRules",4.08,2,3,4,5,6,"abl_conf"
"glass",3,"OPTSTEL",4.24,2,3,4,5,6,"abl_conf"
"glass",3,"OptimalRules",4,2,3,4,5,6,"abl_supp"
"glass",3,"OPTSTEL",4.44,3,3.75,4.5,5,6,"abl_supp"
"glass",3,"OptimalRules",4.12,2,3,4,5,6,"abl_length"
"glass",3,"OPTSTEL",4.47,3,4,4,5,6,"abl_length"
"glass",3,"OptimalRules",4.12,2,3,4,5,6,"abl_mod"
"glass",3,"OPTSTEL",4.41,3,4,4,5,6,"abl_mod"
"glass",3,"OptimalRules",3.4,3,3,3,3.75,5,"abl_acc"
"glass",3,"OPTSTEL",3.4,3,3,3,3.75,5,"abl_acc"
"glass",3,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"glass",3,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"glass",3,"OptimalRules",4.12,2,3,4,5,6,"abl_max_cov"
"glass",3,"OPTSTEL",4.47,3,4,4,5,6,"abl_max_cov"
"glass",3,"OptimalRules",4.12,2,3,4,5,6,"abl_overlap"
"glass",3,"OPTSTEL",4.47,3,4,4,5,6,"abl_overlap"
"glass",3,"OptimalRules",4.35,2,3,4.5,5,7,"abl_preselect"
"glass",3,"OPTSTEL",4.47,3,4,5,5,7,"abl_preselect"
"glass",4,"OptimalRules",4.35,2,4,4,5,6,"no_abl"
"glass",4,"OPTSTEL",4.5,3,4,4,5,6,"no_abl"
"glass",4,"OptimalRules",4.24,2,4,4,5,6,"abl_conf"
