"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","abl_model"
"glass",1,3.5646,7.3991,10.9529,2.34,15.9419,"no_abl"
"glass",1,3.5646,7.3991,10.9529,2.855,16.4917,"abl_conf"
"glass",1,3.5646,7.3991,10.9529,1.47,15.2244,"abl_supp"
"glass",1,3.5646,7.3991,10.9529,3.015,16.8218,"abl_length"
"glass",1,3.5646,7.3991,10.9529,3.308,17.1008,"abl_mod"
"glass",1,3.5646,7.3991,10.9529,0.228,13.9523,"abl_acc"
"glass",1,3.5646,7.3991,10.9529,0.046,13.7103,"abl_min_cov"
"glass",1,3.5646,7.3991,10.9529,2.716,16.4604,"abl_max_cov"
"glass",1,3.5646,7.3991,10.9529,2.183,16.036,"abl_overlap"
"glass",1,3.5646,5.7712,78.8601,3.458,87.1417,"abl_preselect"
"glass",2,3.5909,7.2153,9.689,0.581,12.7383,"no_abl"
"glass",2,3.5909,7.2153,9.689,0.528,12.7666,"abl_conf"
"glass",2,3.5909,7.2153,9.689,0.35,12.6533,"abl_supp"
"glass",2,3.5909,7.2153,9.689,0.423,12.6939,"abl_length"
"glass",2,3.5909,7.2153,9.689,0.622,12.9676,"abl_mod"
"glass",2,3.5909,7.2153,9.689,0.411,12.7305,"abl_acc"
"glass",2,3.5909,7.2153,9.689,0.058,12.3403,"abl_min_cov"
"glass",2,3.5909,7.2153,9.689,0.745,13.0695,"abl_max_cov"
"glass",2,3.5909,7.2153,9.689,0.399,12.746,"abl_overlap"
"glass",2,3.5909,5.664,78.4268,6.902,90.6709,"abl_preselect"
"glass",3,3.6063,7.5598,11.0359,1.32,14.8916,"no_abl"
"glass",3,3.6063,7.5598,11.0359,1.192,14.8206,"abl_conf"
"glass",3,3.6063,7.5598,11.0359,1.122,14.9111,"abl_supp"
"glass",3,3.6063,7.5598,11.0359,1.376,15.0103,"abl_length"
"glass",3,3.6063,7.5598,11.0359,1.778,15.3492,"abl_mod"
"glass",3,3.6063,7.5598,11.0359,0.169,13.9527,"abl_acc"
"glass",3,3.6063,7.5598,11.0359,0.09,13.8753,"abl_min_cov"
"glass",3,3.6063,7.5598,11.0359,1.553,15.3189,"abl_max_cov"
"glass",3,3.6063,7.5598,11.0359,1.681,15.4385,"abl_overlap"
"glass",3,3.6063,5.9113,80.6251,8.382,94.9798,"abl_preselect"
"glass",4,3.8021,7.995,11.7736,0.334,15.0788,"no_abl"
"glass",4,3.8021,7.995,11.7736,0.514,15.7519,"abl_conf"
"glass",4,3.8021,7.995,11.7736,0.339,15.0548,"abl_supp"
"glass",4,3.8021,7.995,11.7736,0.415,15.2144,"abl_length"
"glass",4,3.8021,7.995,11.7736,0.344,15.3794,"abl_mod"
"glass",4,3.8021,7.995,11.7736,0.103,14.9529,"abl_acc"
"glass",4,3.8021,7.995,11.7736,0.1,14.9614,"abl_min_cov"
"glass",4,3.8021,7.995,11.7736,0.48,15.2006,"abl_max_cov"
"glass",4,3.8021,7.995,11.7736,0.348,15.1731,"abl_overlap"
"glass",4,3.8021,5.7849,80.8929,4.271,90.7664,"abl_preselect"
"glass",5,3.6189,7.7044,11.971,0.951,15.8425,"no_abl"
"glass",5,3.6189,7.7044,11.971,1.342,16.3661,"abl_conf"
"glass",5,3.6189,7.7044,11.971,1.227,16.1476,"abl_supp"
"glass",5,3.6189,7.7044,11.971,0.627,15.6957,"abl_length"
"glass",5,3.6189,7.7044,11.971,0.582,15.5025,"abl_mod"
"glass",5,3.6189,7.7044,11.971,0.146,15.0254,"abl_acc"
"glass",5,3.6189,7.7044,11.971,0.081,15.0807,"abl_min_cov"
"glass",5,3.6189,7.7044,11.971,0.956,15.9694,"abl_max_cov"
"glass",5,3.6189,7.7044,11.971,0.724,15.6518,"abl_overlap"
"glass",5,3.6189,6.0832,81.8255,2.84,87.6469,"abl_preselect"
"glass",6,4.0002,7.9691,10.7345,0.735,14.0983,"no_abl"
"glass",6,4.0002,7.9691,10.7345,0.76,13.9687,"abl_conf"
"glass",6,4.0002,7.9691,10.7345,0.714,14,"abl_supp"
"glass",6,4.0002,7.9691,10.7345,0.954,14.2366,"abl_length"
"glass",6,4.0002,7.9691,10.7345,1.093,14.5332,"abl_mod"
"glass",6,4.0002,7.9691,10.7345,0.105,13.5439,"abl_acc"
"glass",6,4.0002,7.9691,10.7345,0.095,13.6293,"abl_min_cov"
"glass",6,4.0002,7.9691,10.7345,0.879,14.3899,"abl_max_cov"
"glass",6,4.0002,7.9691,10.7345,0.67,13.9418,"abl_overlap"
"glass",6,4.0002,6.1716,84.3347,3.494,90.9089,"abl_preselect"
"glass",7,3.4629,7.0321,9.9208,0.623,13.1244,"no_abl"
"glass",7,3.4629,7.0321,9.9208,0.975,13.6091,"abl_conf"
"glass",7,3.4629,7.0321,9.9208,0.439,12.8851,"abl_supp"
"glass",7,3.4629,7.0321,9.9208,0.585,13.1864,"abl_length"
"glass",7,3.4629,7.0321,9.9208,0.47,13.1566,"abl_mod"
"glass",7,3.4629,7.0321,9.9208,0.389,12.9387,"abl_acc"
"glass",7,3.4629,7.0321,9.9208,0.067,12.6238,"abl_min_cov"
"glass",7,3.4629,7.0321,9.9208,0.712,13.1851,"abl_max_cov"
"glass",7,3.4629,7.0321,9.9208,0.708,13.1555,"abl_overlap"
"glass",7,3.4629,5.6253,76.5499,3.574,84.4621,"abl_preselect"
"glass",8,3.5692,7.6704,10.2553,1.065,13.7089,"no_abl"
"glass",8,3.5692,7.6704,10.2553,1.406,14.1154,"abl_conf"
"glass",8,3.5692,7.6704,10.2553,1.115,13.9452,"abl_supp"
"glass",8,3.5692,7.6704,10.2553,1.006,13.7252,"abl_length"
"glass",8,3.5692,7.6704,10.2553,1.346,14.2311,"abl_mod"
