"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"wilt",1,0.01,0.025,0.9752,0.046,0.0493,0.3465,"Optimal",42.809,229.597,340,8
"wilt",2,0.01,0.025,0.9817,0.0422,0.049,0.142,"Optimal",5.148,190.3031,339,6
"wilt",3,0.01,0.025,0.9814,0.041,0.05,0.478,"Optimal",37.889,227.5042,347,7
"wilt",4,0.01,0.025,0.9758,0.0443,0.0529,0.4952,"Optimal",39.767,230.1994,347,8
"wilt",5,0.01,0.025,0.9764,0.0434,0.0523,0.101,"Optimal",9.476,185.3888,319,6
"wilt",6,0.01,0.025,0.9755,0.046,0.0496,0.4257,"Optimal",42.186,231.5532,345,7
"wilt",7,0.01,0.025,0.9796,0.0434,0.0456,0.4589,"Optimal",28.43,221.0859,350,8
"wilt",8,0.01,0.025,0.9757,0.0437,0.0473,0.4953,"Optimal",35.613,215.1862,328,8
"wilt",9,0.01,0.025,0.9755,0.0478,0.0464,0.3539,"Optimal",35.109,210.6145,320,9
"wilt",10,0.01,0.025,0.9787,0.046,0.0516,0.3302,"Optimal",37.263,230.3237,351,7
