"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"TICTACTOE",1,100,4286,728,18,17,10,8,22,NA,NA,NA,NA,NA
"TICTACTOE",2,100,4329,716,19,18,10,8,22,NA,NA,NA,NA,NA
"TICTACTOE",3,100,4229,725,18,18,9,8,19,NA,NA,NA,NA,NA
"TICTACTOE",4,100,4302,717,20,19,9,8,21,NA,NA,NA,NA,NA
"TICTACTOE",5,100,4292,689,20,19,10,8,21,NA,NA,NA,NA,NA
"TICTACTOE",6,100,4296,755,19,19,11,8,22,NA,NA,NA,NA,NA
"TICTACTOE",7,100,4255,745,17,17,9,8,20,NA,NA,NA,NA,NA
"TICTACTOE",8,100,4272,718,18,16,9,8,23,NA,NA,NA,NA,NA
"TICTACTOE",9,100,4252,717,18,18,9,8,23,NA,NA,NA,NA,NA
"TICTACTOE",10,100,4300,729,18,17,9,8,21,NA,NA,NA,NA,NA
