"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"mushroom",1,0.01,0.025,0.9789,0.0023,0,0.4277,"Optimal",52.492,437.7375,363,3
"mushroom",2,0.01,0.025,0.9773,0.0042,0,0.4264,"Optimal",49.038,400.4716,336,3
"mushroom",3,0.01,0.025,0.9854,0.0021,0.0011,0.4722,"Optimal",58.787,452.4996,376,3
"mushroom",4,0.01,0.025,0.9773,0.003,0,0.4539,"Optimal",56.739,439.0717,365,3
"mushroom",5,0.01,0.025,0.9856,0.0011,0.0011,0.4599,"Optimal",46.521,406.6522,344,3
"mushroom",6,0.01,0.025,0.9759,9e-04,0,0.2223,"Optimal",49.898,447.3431,380,3
"mushroom",7,0.01,0.025,0.9815,0.0016,0,0.4285,"Optimal",50.939,403.5036,339,3
"mushroom",8,0.01,0.025,0.9785,0.0019,0,0.4232,"Optimal",60.047,399.6605,325,3
"mushroom",9,0.01,0.025,0.9782,0.0011,0,0.465,"Optimal",64.115,418.8187,339,3
"mushroom",10,0.01,0.025,0.9858,9e-04,4e-04,0.4258,"Optimal",56.741,403.5642,332,3
