"data","iter","PS_rules","Opt_rules","RRF_rules","Intrees"
"Iris",1,"setosa","virginica","virginica","virginica"
"Iris",2,"setosa","virginica","virginica","virginica"
"Iris",3,"setosa","setosa","virginica","virginica"
"Iris",4,"setosa","versicolor","virginica","virginica"
"Iris",5,"setosa","virginica","virginica","virginica"
"Iris",6,"setosa","virginica","setosa","setosa"
"Iris",7,"setosa","versicolor","versicolor","versicolor"
"Iris",8,"setosa","versicolor","virginica","virginica"
"Iris",9,"setosa","versicolor","virginica","virginica"
"Iris",10,"setosa","virginica","setosa","virginica"
