"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"mutagenesis",1,1.1885,13.2712,16.121,3.254,51.8796,0.026,0.0127,3.5829,NA,NA,NA,NA,NA
"mutagenesis",2,1.4038,13.1476,16.6193,13.601,64.5826,0.0244,0.0133,3.7888,NA,NA,NA,NA,NA
"mutagenesis",3,1.3421,13.7144,15.77,4.099,52.6093,0.0256,0.013,3.8665,NA,NA,NA,NA,NA
"mutagenesis",4,1.3407,13.0509,15.3538,3.078,49.4355,0.0238,0.0125,3.7038,NA,NA,NA,NA,NA
"mutagenesis",5,1.2759,13.3643,17.4586,2.212,54.2627,0.0243,0.0137,3.4896,NA,NA,NA,NA,NA
"mutagenesis",6,1.2687,11.8551,15.6895,4.394,50.9891,0.0238,0.0135,3.8335,NA,NA,NA,NA,NA
"mutagenesis",7,1.1729,12.9332,14.6442,3.087,46.3765,0.0235,0.0134,3.5388,NA,NA,NA,NA,NA
"mutagenesis",8,1.3735,14.2486,17.4818,5.223,58.9443,0.0245,0.0139,3.9901,NA,NA,NA,NA,NA
"mutagenesis",9,1.3719,14.1683,16.5039,3.09,54.1456,0.0243,0.0135,3.7144,NA,NA,NA,NA,NA
"mutagenesis",10,1.2089,13.3833,16.7403,2.815,53.5873,0.0235,0.0126,3.6954,NA,NA,NA,NA,NA
