"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"CAR",1,7.5548,34.7837,91.69,34.752,193.7398,0.0317,0.0066,7.0905,NA,NA,NA,NA,NA
"CAR",2,7.5332,38.9784,93.3884,16.244,175.0245,0.0327,0.0067,7.3383,NA,NA,NA,NA,NA
"CAR",3,7.3155,37.502,91.2682,99.74,254.2832,0.0324,0.0066,7.2882,NA,NA,NA,NA,NA
"CAR",4,7.4771,37.142,91.7432,17.237,171.4622,0.0329,0.0067,6.9475,NA,NA,NA,NA,NA
"CAR",5,7.4848,37.0853,91.9477,38.127,191.0371,0.0332,0.0066,6.7601,NA,NA,NA,NA,NA
"CAR",6,7.6869,40.8708,97.0826,27.434,191.4579,0.0336,0.0067,7.8681,NA,NA,NA,NA,NA
"CAR",7,7.4326,37.3205,95.2282,50.489,209.6663,0.0325,0.0066,7.486,NA,NA,NA,NA,NA
"CAR",8,7.5416,37.9958,93.4582,46.342,201.1935,0.0334,0.0067,7.2487,NA,NA,NA,NA,NA
"CAR",9,7.3964,39.1513,94.2304,44.401,202.0352,0.056,0.0066,7.262,NA,NA,NA,NA,NA
"CAR",10,7.5413,38.3819,94.5181,38.288,193.2828,0.0334,0.0066,6.9974,NA,NA,NA,NA,NA
