"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"indian",1,5.8549,11.6548,11.0008,80.541,107.4864,0.0186,0.0058,5.3937,NA,NA,NA,NA,NA
"indian",2,6.3288,10.4709,10.538,81.135,107.0638,0.0177,0.0061,5.1669,NA,NA,NA,NA,NA
"indian",3,6.3777,10.3812,11.5949,121.267,150.1458,0.0183,0.006,5.5671,NA,NA,NA,NA,NA
"indian",4,6.4333,9.9827,12.4931,39.067,64.6228,0.0205,0.0066,5.2767,NA,NA,NA,NA,NA
"indian",5,6.6623,8.9736,14.1501,27.195,54.1193,0.0167,0.0066,5.3668,NA,NA,NA,NA,NA
"indian",6,6.0814,9.5822,11.981,243.424,272.6132,0.0178,0.0062,5.5511,NA,NA,NA,NA,NA
"indian",7,6.1043,9.8972,11.5905,35.313,63.8245,0.0182,0.0058,5.6993,NA,NA,NA,NA,NA
"indian",8,6.0464,10.0066,10.9611,30.829,57.6956,0.0173,0.006,5.6795,NA,NA,NA,NA,NA
"indian",9,6.1356,9.0083,10.9103,176.328,202.6517,0.0196,0.0062,5.4788,NA,NA,NA,NA,NA
"indian",10,5.9911,10.289,13.0565,24.54,56.0822,0.0188,0.0059,5.778,NA,NA,NA,NA,NA
