"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"glass",1,100,3466,556,23,17,26,15,7,NA,NA,NA,NA,NA
"glass",2,100,3443,499,24,19,27,13,7,NA,NA,NA,NA,NA
"glass",3,100,3500,556,24,17,23,10,7,NA,NA,NA,NA,NA
"glass",4,100,3493,603,17,16,22,10,7,NA,NA,NA,NA,NA
"glass",5,100,3526,606,19,18,31,13,8,NA,NA,NA,NA,NA
"glass",6,100,3614,544,23,20,31,12,7,NA,NA,NA,NA,NA
"glass",7,100,3362,508,19,17,25,11,5,NA,NA,NA,NA,NA
"glass",8,100,3471,520,20,20,31,14,9,NA,NA,NA,NA,NA
"glass",9,100,3516,586,22,19,28,9,6,NA,NA,NA,NA,NA
"glass",10,100,3662,603,25,21,39,13,6,NA,NA,NA,NA,NA
