"data","iter","PS_rules","Opt_rules","RRF_rules","Intrees"
"hypothyroid",1,"negative","negative","negative","negative"
"hypothyroid",2,"negative","negative","negative","negative"
"hypothyroid",3,"negative","negative","negative","hypothyroid"
"hypothyroid",4,"hypothyroid","negative","negative","negative"
"hypothyroid",5,"negative","negative","negative","hypothyroid"
"hypothyroid",6,"hypothyroid","hypothyroid","negative","negative"
"hypothyroid",7,"hypothyroid","negative","negative","negative"
"hypothyroid",8,"hypothyroid","negative","negative","hypothyroid"
"hypothyroid",9,"hypothyroid","negative","negative","negative"
"hypothyroid",10,"negative","hypothyroid","negative","negative"
