"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"wdbc",1,1.5574,7.1423,12.0755,755.59,785.6281,0.0128,0.0086,2.8755,NA,NA,NA,NA,NA
"wdbc",2,1.5322,7.2076,12.8164,5.184,37.0546,0.0133,0.0085,2.7849,NA,NA,NA,NA,NA
"wdbc",3,1.4155,6.5032,11.4563,72.395,100.8821,0.0131,0.0076,2.6025,NA,NA,NA,NA,NA
"wdbc",4,1.6482,7.853,15.8127,1.52,36.0838,0.0129,0.0085,2.8563,NA,NA,NA,NA,NA
"wdbc",5,1.5425,7.5441,13.8698,11.329,45.8552,0.0122,0.0084,3.0783,NA,NA,NA,NA,NA
"wdbc",6,1.4663,6.9704,13.1199,52.687,81.1348,0.0127,0.0079,2.5873,NA,NA,NA,NA,NA
"wdbc",7,1.4494,6.9961,12.5695,7.487,38.9883,0.0126,0.0082,2.677,NA,NA,NA,NA,NA
"wdbc",8,1.556,7.1872,14.2769,4.752,35.536,0.0122,0.0083,2.7074,NA,NA,NA,NA,NA
"wdbc",9,1.6403,7.0964,12.3745,70.639,101.4155,0.0133,0.0091,3.0242,NA,NA,NA,NA,NA
"wdbc",10,1.5086,6.9925,13.1884,4.806,33.4831,0.0129,0.0082,2.8155,NA,NA,NA,NA,NA
