"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"TICTACTOE",1,3.2016,15.7528,28.8846,1.911,79.8962,0.0172,0.028,14.9301,NA,NA,NA,NA,NA
"TICTACTOE",2,3.1155,15.1356,28.0246,2.162,80.2019,0.0167,0.0065,14.9417,NA,NA,NA,NA,NA
"TICTACTOE",3,3.0418,14.9734,28.5332,6.6,84.9229,0.0167,0.0062,14.8252,NA,NA,NA,NA,NA
"TICTACTOE",4,3.0808,14.905,28.2414,4.19,82.5358,0.0167,0.0063,14.9281,NA,NA,NA,NA,NA
"TICTACTOE",5,3.0653,14.1831,27.833,4.312,78.1941,0.0166,0.0064,15.0702,NA,NA,NA,NA,NA
"TICTACTOE",6,3.0776,15.4195,29.7631,3.39,85.4844,0.0169,0.0063,15.5189,NA,NA,NA,NA,NA
"TICTACTOE",7,3.267,15.1305,29.359,0.406,80.5667,0.0168,0.0062,14.5525,NA,NA,NA,NA,NA
"TICTACTOE",8,3.0784,14.9785,28.2504,2.108,79.8313,0.0167,0.0065,14.5534,NA,NA,NA,NA,NA
"TICTACTOE",9,3.0739,14.7755,28.2587,8.971,86.8815,0.0171,0.0065,14.4669,NA,NA,NA,NA,NA
"TICTACTOE",10,3.0851,14.9094,28.6598,4.322,83.4285,0.0176,0.0066,15.3166,NA,NA,NA,NA,NA
