"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"heart",1,1.9935,6.3221,10.686,52.354,77.6275,0.0096,0.0041,4.07,NA,NA,NA,NA,NA
"heart",2,1.8814,7.3645,11.0125,26.147,53.3649,0.0087,0.0039,4.359,NA,NA,NA,NA,NA
"heart",3,2.0714,7.0046,11.4017,232.35,259.8202,0.0088,0.0043,4.3292,NA,NA,NA,NA,NA
"heart",4,1.8118,6.356,11.1383,62.366,89.1148,0.009,0.004,3.9577,NA,NA,NA,NA,NA
"heart",5,2.0682,6.7445,11.2675,126.818,154.2956,0.0083,0.0039,4.1157,NA,NA,NA,NA,NA
"heart",6,2.0749,7.2681,11.9291,67.407,96.733,0.0095,0.0042,4.5042,NA,NA,NA,NA,NA
"heart",7,2.2312,6.319,11.211,15.572,42.8838,0.0089,0.004,4.0316,NA,NA,NA,NA,NA
"heart",8,2.0766,6.9163,11.2956,159.801,186.484,0.0092,0.0047,4.3734,NA,NA,NA,NA,NA
"heart",9,1.9157,7.1423,10.7182,111.028,136.8038,0.0096,0.004,4.2853,NA,NA,NA,NA,NA
"heart",10,2.0753,6.7819,10.7265,171.777,197.6817,0.0087,0.0041,4.5627,NA,NA,NA,NA,NA
