"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"TICTACTOE",1,0.01,0.025,0.9761,0.0134,0.0092,0.2997,"Optimal",1.911,79.8962,728,18
"TICTACTOE",2,0.01,0.025,0.9761,0.0194,0.0031,0.3135,"Optimal",2.162,80.2019,716,19
"TICTACTOE",3,0.01,0.025,0.9761,0.0134,0.0092,0.3761,"Optimal",6.6,84.9229,725,18
"TICTACTOE",4,0.01,0.025,0.9761,0.0284,0.0092,0.3486,"Optimal",4.19,82.5358,717,20
"TICTACTOE",5,0.01,0.025,0.9761,0.0194,0.0031,0.3119,"Optimal",4.312,78.1941,689,20
"TICTACTOE",6,0.01,0.025,0.9761,0.0224,0.0092,0.3379,"Optimal",3.39,85.4844,755,19
"TICTACTOE",7,0.01,0.025,0.9761,0.0149,0.0153,0.1835,"Optimal",0.406,80.5667,745,17
"TICTACTOE",8,0.01,0.025,0.9761,0.0075,0.0031,0.367,"Optimal",2.108,79.8313,718,18
"TICTACTOE",9,0.01,0.025,0.9761,0.0149,0.0183,0.3318,"Optimal",8.971,86.8815,717,18
"TICTACTOE",10,0.01,0.025,0.9761,0.0194,0,0.292,"Optimal",4.322,83.4285,729,18
