"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"ion",1,0.01,0.025,0.9756,0.0081,0.0167,0.5,"Optimal",462.615,484.7932,548,10
"ion",2,0.01,0.025,0.9756,0.0122,0.0208,0.45,"Optimal",389.897,413.6171,584,10
"ion",3,0.01,0.025,0.9756,0.0244,0.0333,0.4958,"Optimal",170.462,193.8046,572,8
"ion",4,0.01,0.025,0.9756,0.0081,0.0167,0.3917,"Optimal",42.803,66.4342,581,9
"ion",5,0.01,0.025,0.9756,0.0163,0.0208,0.4625,"Optimal",117.34,140.2294,562,8
"ion",6,0.01,0.025,0.9756,0.0041,0.0125,0.4958,"Optimal",101.249,125.0081,585,9
"ion",7,0.01,0.025,0.9756,0.0163,0.025,0.4958,"Optimal",93.117,116.2912,576,7
"ion",8,0.01,0.025,0.9756,0.0163,0.025,0.3292,"Optimal",18.373,40.8411,550,8
"ion",9,0.01,0.025,0.9756,0.0203,0.0292,0.4958,"Optimal",231.612,255.2266,580,9
"ion",10,0.01,0.025,0.9756,0.0203,0.0292,0.5,"Optimal",182.615,207.0197,601,9
