"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"phoneme",1,5.9702,358.0219,101.4889,2035.43,2360.1477,0.0835,0.0223,90.3867,NA,NA,NA,NA,NA
"phoneme",2,5.9806,443.5091,104.8415,423.167,757.1511,0.086,0.0224,100.1786,NA,NA,NA,NA,NA
"phoneme",3,5.9916,579.5298,119.6721,536.163,904.404,0.0872,0.0221,98.7389,NA,NA,NA,NA,NA
"phoneme",4,5.9983,513.0042,109.8204,833.236,1175.7228,0.0881,0.0218,94.7295,NA,NA,NA,NA,NA
"phoneme",5,5.9756,442.7998,106.5942,209.65,544.8709,0.0865,0.022,99.4508,NA,NA,NA,NA,NA
"phoneme",6,5.7835,380.7255,93.9954,591.457,888.7538,0.0883,0.0221,96.9115,NA,NA,NA,NA,NA
"phoneme",7,5.9412,478.2317,113.7467,607.714,945.9177,0.086,0.0222,97.8141,NA,NA,NA,NA,NA
"phoneme",8,5.9758,603.1623,102.0649,611.398,931.496,0.0867,0.0226,97.8441,NA,NA,NA,NA,NA
"phoneme",9,6.1171,598.6052,106.2018,306.481,636.153,0.0854,0.0223,91.9696,NA,NA,NA,NA,NA
"phoneme",10,5.9731,459.9176,96.5083,480.963,789.1306,0.0879,0.022,95.2108,NA,NA,NA,NA,NA
