"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"thyroid",1,0.01,0.025,0.9751,0.0403,0.02,0.3106,"Optimal",28.913,328.6763,350,7
"thyroid",2,0.01,0.025,0.9756,0.0401,0.0102,0.1527,"Optimal",25.779,291.2781,320,6
"thyroid",3,0.01,0.025,0.9762,0.0403,0.0109,0.1628,"Optimal",22.227,294.9401,325,5
"thyroid",4,0.01,0.025,0.9761,0.0419,0.0046,0.2071,"Optimal",25.111,291.1165,317,5
"thyroid",5,0.01,0.025,0.9771,0.0425,0.0149,0.2998,"Optimal",53.752,340.6337,338,6
"thyroid",6,0.01,0.025,0.9751,0.0403,0.0231,0.2616,"Optimal",6.044,303.4638,343,7
"thyroid",7,0.01,0.025,0.975,0.0381,0.022,0.4014,"Optimal",202.682,491.5022,335,6
"thyroid",8,0.01,0.025,0.9751,0.0377,0.0123,0.2223,"Optimal",44.894,350.0387,356,6
"thyroid",9,0.01,0.025,0.9756,0.0401,0.01,0.218,"Optimal",34.783,307.0535,322,6
"thyroid",10,0.01,0.025,0.9754,0.0381,0.0111,0.1588,"Optimal",17.594,287.754,318,4
