"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"glass",1,0.01,0.025,0.9799,0.0537,0.0616,0.4247,"Optimal",2.34,15.9419,556,23
"glass",2,0.01,0.025,0.9799,0.0872,0.0959,0.3356,"Optimal",0.581,12.7383,499,24
"glass",3,0.01,0.025,0.9799,0.0537,0.0616,0.3973,"Optimal",1.32,14.8916,556,24
"glass",4,0.01,0.025,0.9799,0.0671,0.0753,0.226,"Optimal",0.334,15.0788,603,17
"glass",5,0.01,0.025,0.9799,0.047,0.0548,0.137,"Optimal",0.951,15.8425,606,19
"glass",6,0.01,0.025,0.9799,0.0671,0.0753,0.3356,"Optimal",0.735,14.0983,544,23
"glass",7,0.01,0.025,0.9799,0.094,0.1027,0.2466,"Optimal",0.623,13.1244,508,19
"glass",8,0.01,0.025,0.9799,0.0537,0.0616,0.2466,"Optimal",1.065,13.7089,520,20
"glass",9,0.01,0.025,0.9799,0.0671,0.0753,0.3288,"Optimal",2.669,16.929,586,22
"glass",10,0.01,0.025,0.9799,0.0537,0.0616,0.411,"Optimal",1.703,16.5703,603,25
