"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"thyroid",1,100,9823,350,7,5,8,3,7,NA,NA,NA,NA,NA
"thyroid",2,100,9470,320,6,3,8,4,10,NA,NA,NA,NA,NA
"thyroid",3,100,9515,325,5,4,10,4,6,NA,NA,NA,NA,NA
"thyroid",4,100,9409,317,5,3,9,5,8,NA,NA,NA,NA,NA
"thyroid",5,100,9452,338,6,3,8,2,5,NA,NA,NA,NA,NA
"thyroid",6,100,9865,343,7,4,9,2,7,NA,NA,NA,NA,NA
"thyroid",7,100,10394,335,6,3,10,7,6,NA,NA,NA,NA,NA
"thyroid",8,100,9541,356,6,4,11,4,7,NA,NA,NA,NA,NA
"thyroid",9,100,10023,322,6,3,9,3,7,NA,NA,NA,NA,NA
"thyroid",10,100,9104,318,4,3,7,4,8,NA,NA,NA,NA,NA
