"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"pageblocks",1,8.1369,427.1879,185.9094,17.913,352.9016,0.0955,0.0393,112.0992,NA,NA,NA,NA,NA
"pageblocks",2,7.5494,545.904,190.1985,13.744,351.9348,0.097,0.0413,107.255,NA,NA,NA,NA,NA
"pageblocks",3,7.8933,624.47,197.0769,5.994,360.1977,0.0976,0.0403,105.8368,NA,NA,NA,NA,NA
"pageblocks",4,7.8039,566.4884,183.2754,34.689,362.5978,0.0969,0.0433,103.6362,NA,NA,NA,NA,NA
"pageblocks",5,7.1713,561.122,186.478,59.612,392.124,0.096,0.0398,103.5492,NA,NA,NA,NA,NA
"pageblocks",6,7.8109,595.415,176.5895,34.496,351.2507,0.0975,0.0431,108.1299,NA,NA,NA,NA,NA
"pageblocks",7,7.2124,537.7965,180.0042,10.421,333.2288,0.0943,0.0415,103.2985,NA,NA,NA,NA,NA
"pageblocks",8,7.3994,509.9968,187.217,27.314,363.244,0.097,0.0404,108.5316,NA,NA,NA,NA,NA
"pageblocks",9,8.0264,525.5938,179.7632,51.808,374.1186,0.0979,0.0416,105.3653,NA,NA,NA,NA,NA
"pageblocks",10,7.4934,512.9746,184.0366,22.902,349.6993,0.0948,0.0417,106.5736,NA,NA,NA,NA,NA
