"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"vertebral",1,0.01,0.025,0.977,0.0829,0.0896,0.1038,"Optimal",0.426,26.3696,761,10
"vertebral",2,0.01,0.025,0.977,0.0691,0.0755,0.1226,"Optimal",0.651,25.021,698,9
"vertebral",3,0.01,0.025,0.977,0.0783,0.0849,0.316,"Optimal",2.036,27.2014,718,10
"vertebral",4,0.01,0.025,0.977,0.0737,0.0802,0.1604,"Optimal",0.424,26.5288,745,10
"vertebral",5,0.01,0.025,0.977,0.106,0.1132,0.2594,"Optimal",1.364,25.6886,686,10
"vertebral",6,0.01,0.025,0.977,0.0829,0.0896,0.1085,"Optimal",3.395,27.1521,670,14
"vertebral",7,0.01,0.025,0.977,0.0922,0.0943,0.033,"Optimal",1.228,27.3162,744,9
"vertebral",8,0.01,0.025,0.977,0.0876,0.0943,0.0566,"Optimal",1.114,24.7817,674,11
"vertebral",9,0.01,0.025,0.977,0.0737,0.0802,0.1981,"Optimal",1.937,27.3642,723,12
"vertebral",10,0.01,0.025,0.977,0.0691,0.0755,0.1085,"Optimal",2.856,27.1391,690,12
