"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"wisconsin",1,0.01,0.025,0.977,0.0188,0.0278,0.015,"Optimal",3.017,39.3821,464,5
"wisconsin",2,0.01,0.025,0.9791,0.0126,0.015,0.2692,"Optimal",8.933,47.3867,495,5
"wisconsin",3,0.01,0.025,0.977,0.0146,0.0236,0.4818,"Optimal",20.932,55.9457,451,6
"wisconsin",4,0.01,0.025,0.977,0.0188,0.0257,0.2505,"Optimal",0.832,35.6414,444,5
"wisconsin",5,0.01,0.025,0.977,0.0167,0.0193,0.4904,"Optimal",4.909,37.0934,410,6
"wisconsin",6,0.01,0.025,0.977,0.0167,0.0236,0.4839,"Optimal",8.545,46.3531,487,6
"wisconsin",7,0.01,0.025,0.977,0.0167,0.0214,0.1585,"Optimal",4.429,41.3953,475,5
"wisconsin",8,0.01,0.025,0.977,0.0126,0.015,0.4946,"Optimal",22.989,55.9165,424,6
"wisconsin",9,0.01,0.025,0.9791,0.0167,0.0256,0.4744,"Optimal",7.445,40.2505,423,6
"wisconsin",10,0.01,0.025,0.977,0.0146,0.0236,0.4882,"Optimal",2.355,39.7624,479,5
