"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"mushroom",1,1.129,408.7834,145.1292,52.492,437.7375,0.1376,0.0342,37.664,NA,NA,NA,NA,NA
"mushroom",2,0.9305,342.4307,129.6853,49.038,400.4716,0.1318,0.0345,31.6319,NA,NA,NA,NA,NA
"mushroom",3,1.0641,348.2435,144.4098,58.787,452.4996,0.1361,0.0342,33.8038,NA,NA,NA,NA,NA
"mushroom",4,1.0254,339.2056,141.4821,56.739,439.0717,0.135,0.0346,31.3351,NA,NA,NA,NA,NA
"mushroom",5,1.0172,338.8917,130.1929,46.521,406.6522,0.1382,0.0343,33.0103,NA,NA,NA,NA,NA
"mushroom",6,1.0567,379.0648,139.491,49.898,447.3431,0.1379,0.0338,34.6258,NA,NA,NA,NA,NA
"mushroom",7,0.9932,316.9567,131.92,50.939,403.5036,0.1329,0.0339,38.5335,NA,NA,NA,NA,NA
"mushroom",8,1.0287,320.3294,125.8989,60.047,399.6605,0.1356,0.0349,39.3589,NA,NA,NA,NA,NA
"mushroom",9,0.9721,320.7799,129.5057,64.115,418.8187,0.1331,0.0345,33.78,NA,NA,NA,NA,NA
"mushroom",10,0.936,294.5775,127.2429,56.741,403.5642,0.1341,0.0361,30.8756,NA,NA,NA,NA,NA
