"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"Appendicitis",1,0.01,0.025,0.9865,0.0405405405405406,0.0411,0.0959,"Optimal",0.724,4.613,318,7
"Appendicitis",2,0.01,0.025,0.9865,0.0405405405405406,0.0411,0.4521,"Optimal",0.656,4.842,340,5
"Appendicitis",3,0.01,0.025,0.9865,0.0405405405405406,0.0411,0.411,"Optimal",0.553,4.4156,312,5
"Appendicitis",4,0.01,0.025,0.9865,0.0405405405405406,0.0411,0.4932,"Optimal",0.884,5.5004,377,7
"Appendicitis",5,0.01,0.025,0.9865,0.0405405405405406,0.0411,0.4932,"Optimal",0.499,4.525,326,6
"Appendicitis",6,0.01,0.025,0.9865,0.0405405405405406,0.0411,0.4932,"Optimal",1.195,5.2908,336,7
"Appendicitis",7,0.01,0.025,0.9865,0.0405405405405406,0.0411,0.411,"Optimal",0.671,4.7272,330,7
"Appendicitis",8,0.01,0.025,0.9865,0.0540540540540541,0.0548,0.4795,"Optimal",0.713,5.1712,360,6
"Appendicitis",9,0.01,0.025,0.9865,0.0540540540540541,0.0548,0.4795,"Optimal",0.708,4.6402,325,5
"Appendicitis",10,0.01,0.025,0.9865,0.0540540540540541,0.0548,0.4932,"Optimal",0.983,5.1286,333,6
