"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"indian",1,100,4902,421,30,25,18,11,13,NA,NA,NA,NA,NA
"indian",2,100,5142,398,26,21,33,15,9,NA,NA,NA,NA,NA
"indian",3,100,5243,432,25,23,28,17,13,NA,NA,NA,NA,NA
"indian",4,100,5210,391,28,23,22,11,13,NA,NA,NA,NA,NA
"indian",5,100,4937,399,32,25,20,13,13,NA,NA,NA,NA,NA
"indian",6,100,4999,435,36,29,18,9,13,NA,NA,NA,NA,NA
"indian",7,100,5113,419,25,23,29,17,16,NA,NA,NA,NA,NA
"indian",8,100,5016,401,24,20,18,10,16,NA,NA,NA,NA,NA
"indian",9,100,4978,406,28,22,36,21,9,NA,NA,NA,NA,NA
"indian",10,100,5059,483,28,23,12,4,14,NA,NA,NA,NA,NA
