"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"CAR",1,0.01,0.025,0.9752,0.005,0.0144,0.3517,"Optimal",34.752,193.7398,795,26
"CAR",2,0.01,0.025,0.9752,0.0074,0.017,0.3647,"Optimal",16.244,175.0245,802,31
"CAR",3,0.01,0.025,0.9661,0.0091,0.0205,0.2926,"Optimal",99.74,254.2832,781,18
"CAR",4,0.01,0.025,0.9752,0.0041,0.0136,0.3545,"Optimal",17.237,171.4622,779,29
"CAR",5,0.01,0.025,0.9752,0.0107,0.0195,0.3661,"Optimal",38.127,191.0371,771,25
"CAR",6,0.01,0.025,0.9752,0.0058,0.0153,0.3669,"Optimal",27.434,191.4579,819,32
"CAR",7,0.01,0.025,0.9752,0.005,0.0144,0.3757,"Optimal",50.489,209.6663,799,30
"CAR",8,0.01,0.025,0.9752,0.0116,0.0212,0.3478,"Optimal",46.342,201.1935,781,26
"CAR",9,0.01,0.025,0.9752,0.005,0.0144,0.3421,"Optimal",44.401,202.0352,793,28
"CAR",10,0.01,0.025,0.9752,0.0058,0.0153,0.4126,"Optimal",38.288,193.2828,781,35
