"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"auto",1,4.0229,11.7123,15.1404,2.161,21.5538,0.1682,0.8202,5.1926,NA,NA,NA,NA,NA
"auto",2,4.2114,12.4384,16.0364,4.398,23.9841,0.1678,0.7642,5.2149,NA,NA,NA,NA,NA
"auto",3,4.3225,12.1321,15.486,5.372,24.6315,0.1756,0.3335,5.3768,NA,NA,NA,NA,NA
"auto",4,4.4106,12.6153,14.4265,1.092,18.9937,0.1744,0.7572,5.3747,NA,NA,NA,NA,NA
"auto",5,4.2194,12.1869,14.0245,10.546,27.9136,0.1757,0.6779,5.337,NA,NA,NA,NA,NA
"auto",6,4.2799,11.6722,14.8006,4.854,22.967,0.1726,0.2717,5.3875,NA,NA,NA,NA,NA
"auto",7,4.2467,11.4096,15.2601,1.444,20.6999,0.1684,0.4738,5.3518,NA,NA,NA,NA,NA
"auto",8,4.1957,11.277,14.458,4.236,22.2116,0.1752,0.5306,5.2396,NA,NA,NA,NA,NA
"auto",9,4.2735,11.5315,15.0869,4.2,23.1859,0.1599,0.5755,5.1295,NA,NA,NA,NA,NA
"auto",10,4.5099,11.0862,14.0772,2.935,19.9792,0.1561,0.4799,4.9457,NA,NA,NA,NA,NA
