"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"haberman",1,0.01,0.025,0.9767,0.2279,0.2333,0.2905,"Optimal",0.202,9.6309,267,4
"haberman",2,0.01,0.025,0.9907,0.2372,0.2347,0.3052,"Optimal",0.264,9.1526,250,4
"haberman",3,0.01,0.025,0.9814,0.2465,0.2559,0,"Optimal",0.089,9.767,268,3
"haberman",4,0.01,0.025,0.9767,0.2047,0.2048,0.2476,"Optimal",0.584,10.4977,280,5
"haberman",5,0.01,0.025,1,0.2093,0.214,0.2884,"Optimal",0.266,9.4922,260,4
"haberman",6,0.01,0.025,0.9814,0.2186,0.2227,0.1185,"Optimal",0.299,9.893,270,4
"haberman",7,0.01,0.025,0.9767,0.2,0.2095,0.3095,"Optimal",0.554,9.7197,259,5
"haberman",8,0.01,0.025,1,0.2326,0.2326,0.2977,"Optimal",0.351,9.9627,269,4
"haberman",9,0.01,0.025,0.9767,0.2,0.2095,0.1857,"Optimal",0.586,10.8324,290,5
"haberman",10,0.01,0.025,0.9767,0.2093,0.2143,0.2619,"Optimal",0.211,9.987,278,4
