"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"ion",1,100,1846,548,10,9,9,6,4,NA,NA,NA,NA,NA
"ion",2,100,1919,584,10,10,10,7,4,NA,NA,NA,NA,NA
"ion",3,100,1855,572,8,8,17,8,5,NA,NA,NA,NA,NA
"ion",4,100,1947,581,9,9,11,6,6,NA,NA,NA,NA,NA
"ion",5,100,1724,562,8,8,11,6,4,NA,NA,NA,NA,NA
"ion",6,100,1788,585,9,9,16,8,4,NA,NA,NA,NA,NA
"ion",7,100,1710,576,7,7,14,8,4,NA,NA,NA,NA,NA
"ion",8,100,1852,550,8,8,16,8,4,NA,NA,NA,NA,NA
"ion",9,100,1935,580,9,8,20,5,6,NA,NA,NA,NA,NA
"ion",10,100,1889,601,9,8,18,8,6,NA,NA,NA,NA,NA
