"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"newthyroid",1,1.1136,2.7234,4.2138,0.356,8.4533,0.006,0.0026,1.3356,NA,NA,NA,NA,NA
"newthyroid",2,1.0818,2.5896,3.5878,0.551,7.4006,0.0059,0.0026,1.2565,NA,NA,NA,NA,NA
"newthyroid",3,1.2835,2.9611,4.2078,0.47,8.5434,0.0056,0.0026,1.452,NA,NA,NA,NA,NA
"newthyroid",4,0.9991,2.5537,3.837,0.542,7.8641,0.0052,0.0026,1.208,NA,NA,NA,NA,NA
"newthyroid",5,0.9422,2.3539,3.5849,0.282,6.9559,0.0049,0.0025,1.2133,NA,NA,NA,NA,NA
"newthyroid",6,1.1946,2.7602,4.3256,0.823,9.1664,0.0058,0.0026,1.3806,NA,NA,NA,NA,NA
"newthyroid",7,1.1065,2.6602,3.997,0.227,7.8052,0.0057,0.0026,1.2469,NA,NA,NA,NA,NA
"newthyroid",8,1.017,2.651,3.7186,0.625,7.7446,0.0054,0.0027,1.3582,NA,NA,NA,NA,NA
"newthyroid",9,1.1144,2.6713,3.8353,0.133,7.4015,0.0053,0.0025,1.3643,NA,NA,NA,NA,NA
"newthyroid",10,1.0618,2.408,3.6387,0.87,7.7928,0.0053,0.0026,1.2592,NA,NA,NA,NA,NA
