"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"haberman",1,0.9235,2.1843,3.7893,0.202,9.6309,0.0058,0.0025,0.9803,NA,NA,NA,NA,NA
"haberman",2,0.8068,1.9081,3.5543,0.264,9.1526,0.0046,0.0027,0.8837,NA,NA,NA,NA,NA
"haberman",3,0.8573,2.1629,4.0286,0.089,9.767,0.0172,0.0025,0.9724,NA,NA,NA,NA,NA
"haberman",4,0.9219,2.3135,3.9997,0.584,10.4977,0.0048,0.0026,1.034,NA,NA,NA,NA,NA
"haberman",5,0.8157,1.9679,3.6782,0.266,9.4922,0.0047,0.0025,0.8967,NA,NA,NA,NA,NA
"haberman",6,0.9103,2.0213,3.9605,0.299,9.893,0.0052,0.0025,0.9506,NA,NA,NA,NA,NA
"haberman",7,0.9438,2.1667,3.8265,0.554,9.7197,0.0052,0.0025,1.0598,NA,NA,NA,NA,NA
"haberman",8,0.8774,2.1005,3.9238,0.351,9.9627,0.0048,0.0025,0.9637,NA,NA,NA,NA,NA
"haberman",9,0.9047,2.1987,4.1043,0.586,10.8324,0.0049,0.0027,1.0271,NA,NA,NA,NA,NA
"haberman",10,0.798,2.2196,3.9006,0.211,9.987,0.0047,0.0026,0.894,NA,NA,NA,NA,NA
