"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"vertebral",1,100,2718,761,10,10,10,8,5,NA,NA,NA,NA,NA
"vertebral",2,100,2514,698,9,9,9,6,5,NA,NA,NA,NA,NA
"vertebral",3,100,2585,718,10,10,12,8,5,NA,NA,NA,NA,NA
"vertebral",4,100,2669,745,10,10,15,7,4,NA,NA,NA,NA,NA
"vertebral",5,100,2701,686,10,9,13,6,6,NA,NA,NA,NA,NA
"vertebral",6,100,2889,670,14,13,14,6,6,NA,NA,NA,NA,NA
"vertebral",7,100,2752,744,9,9,11,8,5,NA,NA,NA,NA,NA
"vertebral",8,100,2762,674,11,10,13,7,5,NA,NA,NA,NA,NA
"vertebral",9,100,2845,723,12,12,16,10,5,NA,NA,NA,NA,NA
"vertebral",10,100,2723,690,12,12,12,8,5,NA,NA,NA,NA,NA
