"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"titatnic",1,100,538,40,3,3,5,3,5,NA,NA,NA,NA,NA
"titatnic",2,100,537,35,3,3,5,3,3,NA,NA,NA,NA,NA
"titatnic",3,100,566,38,3,3,5,2,2,NA,NA,NA,NA,NA
"titatnic",4,100,526,37,3,2,5,3,3,NA,NA,NA,NA,NA
"titatnic",5,100,555,41,3,3,6,3,5,NA,NA,NA,NA,NA
"titatnic",6,100,517,35,3,3,3,3,3,NA,NA,NA,NA,NA
"titatnic",7,100,574,41,3,2,4,3,3,NA,NA,NA,NA,NA
"titatnic",8,100,564,37,3,3,5,3,3,NA,NA,NA,NA,NA
"titatnic",9,100,531,39,3,3,4,1,3,NA,NA,NA,NA,NA
"titatnic",10,100,511,36,3,3,5,4,5,NA,NA,NA,NA,NA
