"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"anneal",1,100,3943,409,12,11,12,8,10,NA,NA,NA,NA,NA
"anneal",2,100,3917,392,12,12,13,10,10,NA,NA,NA,NA,NA
"anneal",3,100,3972,394,15,12,13,7,10,NA,NA,NA,NA,NA
"anneal",4,100,3985,383,14,10,13,9,9,NA,NA,NA,NA,NA
"anneal",5,100,3987,355,12,11,10,6,9,NA,NA,NA,NA,NA
"anneal",6,100,3909,404,12,11,15,5,8,NA,NA,NA,NA,NA
"anneal",7,100,4045,393,13,12,12,8,9,NA,NA,NA,NA,NA
"anneal",8,100,4059,362,11,10,9,6,11,NA,NA,NA,NA,NA
"anneal",9,100,3718,356,11,10,13,8,11,NA,NA,NA,NA,NA
"anneal",10,100,4001,401,9,8,16,11,10,NA,NA,NA,NA,NA
