"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"wine",1,0.01,0.025,0.976,0,0,0.5,"Optimal",1.039,9.6688,436,5
"wine",2,0.01,0.025,0.976,0,0.0082,0.2623,"Optimal",0.23,9.8467,480,4
"wine",3,0.01,0.025,0.976,0,0.0082,0.4672,"Optimal",1.101,11.12,497,5
"wine",4,0.01,0.025,0.976,0,0.0082,0.4836,"Optimal",1.432,12.5255,544,5
"wine",5,0.01,0.025,0.976,0,0.0082,0.459,"Optimal",1.393,12.9953,574,5
"wine",6,0.01,0.025,0.984,0,0,0.4878,"Optimal",1.748,12.2978,522,5
"wine",7,0.01,0.025,0.984,0,0,0.4634,"Optimal",1.603,11.2102,471,5
"wine",8,0.01,0.025,0.976,0,0.0082,0.2295,"Optimal",0.692,10.8746,494,4
"wine",9,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",1.463,13.3547,579,5
"wine",10,0.01,0.025,0.976,0,0,0.418,"Optimal",0.85,11.7858,534,5
