"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"wireless",1,0.01,0.025,0.975,0.03,0.0366,0.3033,"Optimal",4.732,287.0719,1248,12
"wireless",2,0.01,0.025,0.975,0.0307,0.0396,0.3575,"Optimal",16.106,292.8641,1216,13
"wireless",3,0.01,0.025,0.975,0.03,0.0388,0.4857,"Optimal",31.901,324.6464,1294,13
"wireless",4,0.01,0.025,0.975,0.0379,0.0469,0.0242,"Optimal",6.441,302.6118,1316,11
"wireless",5,0.01,0.025,0.975,0.0293,0.0388,0.2718,"Optimal",4.746,302.1804,1321,11
"wireless",6,0.01,0.025,0.9757,0.0329,0.0425,0.481,"Optimal",58.666,347.5233,1282,13
"wireless",7,0.01,0.025,0.975,0.0321,0.0418,0.4454,"Optimal",63.8,362.5153,1318,14
"wireless",8,0.01,0.025,0.9764,0.0343,0.0402,0.2429,"Optimal",2.125,280.6056,1237,12
"wireless",9,0.01,0.025,0.975,0.0371,0.0462,0.1802,"Optimal",4.478,299.3196,1314,12
"wireless",10,0.01,0.025,0.975,0.0293,0.0388,0.4894,"Optimal",44.078,326.8367,1258,14
