"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"BCo",1,0.01,0.025,0.9755,0.0122,0.0188,0.2866,"Optimal",21.244,53.8526,397,5
"BCo",2,0.01,0.025,0.9755,0.0122,0.0209,0.4979,"Optimal",19.097,53.7327,427,5
"BCo",3,0.01,0.025,0.9755,0.0122,0.0167,0.1736,"Optimal",3.403,35.6268,405,4
"BCo",4,0.01,0.025,0.9755,0.0102,0.0146,0.5,"Optimal",48.045,84.8313,459,5
"BCo",5,0.01,0.025,0.9755,0.0163,0.0251,0.2385,"Optimal",3.141,41.7429,485,4
"BCo",6,0.01,0.025,0.9755,0.0122,0.0209,0.2803,"Optimal",31.959,69.3695,464,5
"BCo",7,0.01,0.025,0.9755,0.0102,0.0188,0.2929,"Optimal",39.074,70.1263,387,5
"BCo",8,0.01,0.025,0.9816,0.0122,0.0208,0.3264,"Optimal",45.23,81.1024,448,5
"BCo",9,0.01,0.025,0.9755,0.0122,0.0209,0.2929,"Optimal",21.683,55.6405,424,5
"BCo",10,0.01,0.025,0.9755,0.0163,0.023,0.2992,"Optimal",25.187,60.6061,444,5
