"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"mutagenesis",1,0.01,0.025,0.9806,0.2957,0.3006,0,"Optimal",3.254,51.8796,228,3
"mutagenesis",2,0.01,0.025,0.9797,0.3001,0.3045,0.4829,"Optimal",13.601,64.5826,238,5
"mutagenesis",3,0.01,0.025,0.9753,0.308,0.3167,0.1774,"Optimal",4.099,52.6093,228,4
"mutagenesis",4,0.01,0.025,0.9859,0.3089,0.3133,0.3223,"Optimal",3.078,49.4355,219,4
"mutagenesis",5,0.01,0.025,0.9753,0.3089,0.3176,0.019,"Optimal",2.212,54.2627,246,3
"mutagenesis",6,0.01,0.025,0.9841,0.3027,0.3103,0.4,"Optimal",4.394,50.9891,218,4
"mutagenesis",7,0.01,0.025,0.9832,0.3036,0.3133,0.4515,"Optimal",3.087,46.3765,204,4
"mutagenesis",8,0.01,0.025,0.985,0.3019,0.3109,0.0242,"Optimal",5.223,58.9443,250,4
"mutagenesis",9,0.01,0.025,0.9788,0.2957,0.3057,0.4472,"Optimal",3.09,54.1456,238,4
"mutagenesis",10,0.01,0.025,0.9859,0.3063,0.316,0.0645,"Optimal",2.815,53.5873,240,3
