"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect"
"haberman",1,"train","all","PreSelectedRules",0.990697674418605,0.995024875621891,0.9375,0.964166666666667,0.987951807228916,0.993589743589744,0.916666666666667,0.951319648093842,1,1,1,1
"haberman",1,"train","covered","PreSelectedRules",0.990697674418605,0.995024875621891,0.9375,0.964166666666667,0.987951807228916,0.993589743589744,0.916666666666667,0.951319648093842,1,1,1,1
"haberman",1,"train","notcovered","PreSelectedRules",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"haberman",1,"test","all","PreSelectedRules",1,1,1,1,1,1,1,1,1,1,1,1
"haberman",1,"test","covered","PreSelectedRules",1,1,1,1,1,1,1,1,1,1,1,1
"haberman",1,"test","notcovered","PreSelectedRules",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"haberman",1,"train","all","OptimalRules",0.990697674418605,0.96623743718593,0.96623743718593,0.96623743718593,0.987951807228916,0.95508658008658,0.95508658008658,0.95508658008658,1,1,1,1
"haberman",1,"train","covered","OptimalRules",0.990476190476191,0.966172680412371,0.966172680412371,0.966172680412371,0.987730061349693,0.955022075055188,0.955022075055188,0.955022075055188,1,1,1,1
"haberman",1,"train","notcovered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1
"haberman",1,"test","all","OptimalRules",0.989010989010989,0.994252873563218,0.9,0.94155427103404,1,1,1,1,0.96,0.978260869565217,0.833333333333333,0.888888888888889
"haberman",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1
"haberman",1,"test","notcovered","OptimalRules",0.8,0.8,0.5,0.888888888888889,NA,NA,NA,NA,0.8,0.8,0.5,0.888888888888889
"haberman",1,"train","all","OPTSTEL",0.990697674418605,0.96623743718593,0.96623743718593,0.96623743718593,0.987951807228916,0.95508658008658,0.95508658008658,0.95508658008658,1,1,1,1
"haberman",1,"train","covered","OPTSTEL",0.990476190476191,0.966172680412371,0.966172680412371,0.966172680412371,0.987730061349693,0.955022075055188,0.955022075055188,0.955022075055188,1,1,1,1
"haberman",1,"train","notcovered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1
"haberman",1,"test","all","OPTSTEL",0.989010989010989,0.994252873563218,0.9,0.94155427103404,1,1,1,1,0.96,0.978260869565217,0.833333333333333,0.888888888888889
"haberman",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1
"haberman",1,"test","notcovered","OPTSTEL",0.8,0.8,0.5,0.888888888888889,NA,NA,NA,NA,0.8,0.8,0.5,0.888888888888889
"haberman",1,"train","all","IntreesRRFVote",0.948837209302326,0.973809523809524,0.65625,0.724647805332402,0.951807228915663,0.975308641975309,0.666666666666667,0.737341772151899,0.938775510204082,0.96875,0.625,0.683870967741935
"haberman",1,"train","covered","IntreesRRFVote",0.948837209302326,0.973809523809524,0.65625,0.724647805332402,0.951807228915663,0.975308641975309,0.666666666666667,0.737341772151899,0.938775510204082,0.96875,0.625,0.683870967741935
"haberman",1,"train","notcovered","IntreesRRFVote",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"haberman",1,"test","all","IntreesRRFVote",0.989010989010989,0.994252873563218,0.9,0.94155427103404,0.984848484848485,0.992307692307692,0.75,0.829457364341085,1,1,1,1
"haberman",1,"test","covered","IntreesRRFVote",0.989010989010989,0.994252873563218,0.9,0.94155427103404,0.984848484848485,0.992307692307692,0.75,0.829457364341085,1,1,1,1
"haberman",1,"test","notcovered","IntreesRRFVote",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"haberman",1,"train","all","IntreesVote",0.93953488372093,0.969339622641509,0.59375,0.642079651683954,0.939759036144578,0.969512195121951,0.583333333333333,0.627133872416891,0.938775510204082,0.96875,0.625,0.683870967741935
"haberman",1,"train","covered","IntreesVote",0.938679245283019,0.938679245283019,0.5,0.968369829683698,0.939024390243902,0.939024390243902,0.5,0.968553459119497,0.9375,0.9375,0.5,0.967741935483871
