"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"wireless",1,4.1393,71.742,165.9679,4.732,287.0719,0.0323,0.0069,14.2905,NA,NA,NA,NA,NA
"wireless",2,3.9895,59.4676,162.403,16.106,292.8641,0.0324,0.0069,14.3333,NA,NA,NA,NA,NA
"wireless",3,4.1787,56.7488,175.5801,31.901,324.6464,0.0324,0.007,13.9659,NA,NA,NA,NA,NA
"wireless",4,4.1744,57.2603,176.5026,6.441,302.6118,0.0331,0.0074,13.8955,NA,NA,NA,NA,NA
"wireless",5,4.2769,57.4327,176.7801,4.746,302.1804,0.0336,0.007,14.044,NA,NA,NA,NA,NA
"wireless",6,4.0493,55.6474,171.5333,58.666,347.5233,0.0328,0.007,14.0407,NA,NA,NA,NA,NA
"wireless",7,4.1784,58.65,175.6682,63.8,362.5153,0.0335,0.0074,13.9603,NA,NA,NA,NA,NA
"wireless",8,3.9929,55.0234,165.129,2.125,280.6056,0.0322,0.0071,13.5134,NA,NA,NA,NA,NA
"wireless",9,4.0953,56.4486,175.9736,4.478,299.3196,0.0329,0.0071,13.6992,NA,NA,NA,NA,NA
"wireless",10,4.2356,56.2248,168.4184,44.078,326.8367,0.0331,0.0073,14.1464,NA,NA,NA,NA,NA
