"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"hypothyroid",1,0.01,0.025,0.975,0.0117,0.0093,0.4345,"Optimal",55.775,186.9612,359,7
"hypothyroid",2,0.01,0.025,0.9765,0.0126,0.0153,0.4947,"Optimal",142.607,271.3283,353,8
"hypothyroid",3,0.01,0.025,0.9752,0.0117,0.0139,0.4386,"Optimal",108.251,229.4793,332,7
"hypothyroid",4,0.01,0.025,0.9751,0.0095,0.0139,0.4645,"Optimal",23.592,159.6576,370,5
"hypothyroid",5,0.01,0.025,0.976,0.0104,0.0111,0.4963,"Optimal",56.543,187.6906,357,6
"hypothyroid",6,0.01,0.025,0.9764,0.0095,0.0083,0.4281,"Optimal",56.236,189.8742,366,6
"hypothyroid",7,0.01,0.025,0.9756,0.0104,0.007,0.4991,"Optimal",14.452,140.5971,347,5
"hypothyroid",8,0.01,0.025,0.9765,0.0117,0.013,0.4937,"Optimal",64.775,187.2224,335,7
"hypothyroid",9,0.01,0.025,0.9751,0.0095,0.0186,0.4594,"Optimal",55.749,179.2722,339,6
"hypothyroid",10,0.01,0.025,0.9774,0.0117,0.0125,0.4797,"Optimal",314.464,451.0306,373,8
