"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"mammographic",1,3.1519,17.0288,23.2372,0.356,63.4861,0.0191,0.0051,5.3393,NA,NA,NA,NA,NA
"mammographic",2,3.0756,16.8677,24.3738,0.921,66.9404,0.0175,0.005,4.845,NA,NA,NA,NA,NA
"mammographic",3,3.0251,16.9735,24.1216,2.171,66.4977,0.0184,0.0049,5.1996,NA,NA,NA,NA,NA
"mammographic",4,3.183,16.8028,20.403,0.359,55.9338,0.0192,0.005,5.5745,NA,NA,NA,NA,NA
"mammographic",5,3.25,16.84,21.9858,0.875,60.0466,0.0185,0.0051,5.1773,NA,NA,NA,NA,NA
"mammographic",6,2.8388,16.5477,21.9899,0.571,59.4688,0.0187,0.005,5.1579,NA,NA,NA,NA,NA
"mammographic",7,3.2902,17.4678,25.1354,1.129,66.5483,0.018,0.0049,5.2576,NA,NA,NA,NA,NA
"mammographic",8,3.2489,16.8847,22.6424,0.507,60.658,0.0183,0.0052,5.1791,NA,NA,NA,NA,NA
"mammographic",9,3.1482,16.4062,21.1629,0.983,57.565,0.0192,0.0049,5.0892,NA,NA,NA,NA,NA
"mammographic",10,3.3583,18.287,22.0197,2.121,59.6824,0.0229,0.0049,5.4015,NA,NA,NA,NA,NA
