"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"banknote",1,1.6761,10.0025,11.4549,0.346,30.4767,0.0218,0.0047,2.683,NA,NA,NA,NA,NA
"banknote",2,1.5706,9.8235,12.1253,0.816,32.1366,0.0192,0.0046,2.5364,NA,NA,NA,NA,NA
"banknote",3,1.3729,7.6613,10.9831,0.961,29.5049,0.0181,0.0045,2.0333,NA,NA,NA,NA,NA
"banknote",4,1.4897,9.5863,11.442,0.605,30.601,0.019,0.0045,2.4098,NA,NA,NA,NA,NA
"banknote",5,1.4787,9.5926,11.4109,1.369,31.3098,0.0187,0.0046,2.4979,NA,NA,NA,NA,NA
"banknote",6,1.4773,9.5884,11.9192,0.961,31.5361,0.0188,0.0045,2.3925,NA,NA,NA,NA,NA
"banknote",7,1.5293,8.988,11.1412,0.935,28.9892,0.0186,0.0046,2.3631,NA,NA,NA,NA,NA
"banknote",8,1.5568,9.7102,10.8665,1.298,29.7896,0.0187,0.0046,2.8489,NA,NA,NA,NA,NA
"banknote",9,1.5985,9.989,11.419,0.365,29.7056,0.019,0.0048,2.7228,NA,NA,NA,NA,NA
"banknote",10,1.5173,8.717,11.1504,0.829,29.2287,0.019,0.0048,2.38,NA,NA,NA,NA,NA
