"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"thyroid",1,12.7111,495.9558,143.3448,28.913,328.6763,0.1249,0.0392,141.7499,NA,NA,NA,NA,NA
"thyroid",2,12.3609,403.7976,125.8494,25.779,291.2781,0.1218,0.0393,64.8854,NA,NA,NA,NA,NA
"thyroid",3,12.0007,404.3546,125.0694,22.227,294.9401,0.1217,0.0391,72.1953,NA,NA,NA,NA,NA
"thyroid",4,12.1707,391.7824,127.1924,25.111,291.1165,0.1258,0.0406,65.3004,NA,NA,NA,NA,NA
"thyroid",5,13.1022,381.7016,137.9075,53.752,340.6337,0.1258,0.041,66.0618,NA,NA,NA,NA,NA
"thyroid",6,12.9235,435.8506,139.7524,6.044,303.4638,0.1216,0.0441,129.3554,NA,NA,NA,NA,NA
"thyroid",7,13.7135,419.5427,139.0696,202.682,491.5022,0.1243,0.0413,83.4276,NA,NA,NA,NA,NA
"thyroid",8,12.4202,458.168,147.2985,44.894,350.0387,0.123,0.0392,77.1587,NA,NA,NA,NA,NA
"thyroid",9,12.8984,453.6164,131.7641,34.783,307.0535,0.1267,0.0395,79.14,NA,NA,NA,NA,NA
"thyroid",10,11.7526,403.9261,127.2395,17.594,287.754,0.1177,0.0406,61.7775,NA,NA,NA,NA,NA
