"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"pageblocks",1,0.01,0.025,0.9755,0.0347,0.037,0.2935,"Optimal",17.913,352.9016,480,8
"pageblocks",2,0.01,0.025,0.9756,0.0342,0.0406,0.0651,"Optimal",13.744,351.9348,484,8
"pageblocks",3,0.01,0.025,0.9751,0.0345,0.0426,0.069,"Optimal",5.994,360.1977,510,8
"pageblocks",4,0.01,0.025,0.9753,0.0345,0.0383,0.186,"Optimal",34.689,362.5978,467,6
"pageblocks",5,0.01,0.025,0.9756,0.0337,0.0358,0.3927,"Optimal",59.612,392.124,475,9
"pageblocks",6,0.01,0.025,0.9754,0.0342,0.0395,0.4946,"Optimal",34.496,351.2507,451,10
"pageblocks",7,0.01,0.025,0.9751,0.0342,0.0382,0.4727,"Optimal",10.421,333.2288,459,9
"pageblocks",8,0.01,0.025,0.9752,0.0339,0.0315,0.4402,"Optimal",27.314,363.244,488,12
"pageblocks",9,0.01,0.025,0.9751,0.0326,0.0374,0.2728,"Optimal",51.808,374.1186,461,10
"pageblocks",10,0.01,0.025,0.9754,0.0329,0.0285,0.3014,"Optimal",22.902,349.6993,473,9
