"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"titatnic",1,0.4812,1.7869,5.1941,1.737,12.1611,0.0202,0.0058,0.3029,NA,NA,NA,NA,NA
"titatnic",2,0.272,1.6303,4.6985,1.589,10.5951,0.0198,0.0053,0.2807,NA,NA,NA,NA,NA
"titatnic",3,0.2989,1.6421,5.6299,1.688,11.6913,0.0201,0.0052,0.3004,NA,NA,NA,NA,NA
"titatnic",4,0.2677,1.6924,4.9752,1.784,11.64,0.02,0.0054,0.2939,NA,NA,NA,NA,NA
"titatnic",5,0.2837,1.7377,5.4982,1.535,12.2371,0.02,0.0056,0.2956,NA,NA,NA,NA,NA
"titatnic",6,0.2646,1.6128,5.1887,1.325,10.4069,0.0197,0.0056,0.2933,NA,NA,NA,NA,NA
"titatnic",7,0.2961,1.7411,5.2359,1.385,12.0242,0.0201,0.0055,0.3046,NA,NA,NA,NA,NA
"titatnic",8,0.4957,1.7201,5.024,1.561,11.249,0.0204,0.0054,0.2959,NA,NA,NA,NA,NA
"titatnic",9,0.2604,1.701,5.0622,1.183,11.3422,0.0197,0.0055,0.2829,NA,NA,NA,NA,NA
"titatnic",10,0.2507,1.6371,4.965,2.198,11.5316,0.0196,0.0053,0.2777,NA,NA,NA,NA,NA
