"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"derma",1,0.01,0.025,0.9765,0,0.004,0.2088,"Optimal",0.538,18.6543,432,9
"derma",2,0.01,0.025,0.9765,0,0.008,0.1767,"Optimal",5.618,27.3793,517,10
"derma",3,0.01,0.025,0.9765,0,0.008,0.1084,"Optimal",0.982,22.2742,508,11
"derma",4,0.01,0.025,0.9802,0,0.0081,0.4798,"Optimal",1.137,20.9273,483,11
"derma",5,0.01,0.025,0.9764,0,0.0081,0.1573,"Optimal",0.594,21.9195,507,10
"derma",6,0.01,0.025,0.9765,0,0.008,0.2691,"Optimal",1.556,25.3651,569,9
"derma",7,0.01,0.025,0.9763,0,0.0081,0.417,"Optimal",1.247,22.0861,496,10
"derma",8,0.01,0.025,0.9765,0,0.008,0.1084,"Optimal",0.615,19.7271,458,9
"derma",9,0.01,0.025,0.9764,0,0.0081,0.4879,"Optimal",1.594,23.2171,516,11
"derma",10,0.01,0.025,0.9765,0,0.008,0.3373,"Optimal",1.047,18.8349,424,9
