"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"CAR",1,100,7819,795,26,19,11,7,17,NA,NA,NA,NA,NA
"CAR",2,100,8078,802,31,16,12,8,15,NA,NA,NA,NA,NA
"CAR",3,100,7891,781,18,15,12,4,17,NA,NA,NA,NA,NA
"CAR",4,100,7926,779,29,21,15,6,17,NA,NA,NA,NA,NA
"CAR",5,100,7712,771,25,21,10,4,15,NA,NA,NA,NA,NA
"CAR",6,100,8163,819,32,18,8,4,18,NA,NA,NA,NA,NA
"CAR",7,100,7619,799,30,21,13,7,17,NA,NA,NA,NA,NA
"CAR",8,100,7682,781,26,22,11,4,17,NA,NA,NA,NA,NA
"CAR",9,100,7902,793,28,17,12,7,15,NA,NA,NA,NA,NA
"CAR",10,100,7844,781,35,17,11,7,17,NA,NA,NA,NA,NA
