"data","iter","PS_rules","Opt_rules","RRF_rules","Intrees"
"TICTACTOE",1,"positive","negative","positive","positive"
"TICTACTOE",2,"positive","negative","positive","positive"
"TICTACTOE",3,"positive","negative","positive","positive"
"TICTACTOE",4,"positive","negative","positive","positive"
"TICTACTOE",5,"positive","negative","positive","positive"
"TICTACTOE",6,"positive","negative","positive","positive"
"TICTACTOE",7,"positive","negative","positive","positive"
"TICTACTOE",8,"positive","negative","positive","positive"
"TICTACTOE",9,"positive","negative","positive","positive"
"TICTACTOE",10,"positive","negative","positive","positive"
