"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"glass",1,3.5646,7.3991,10.9529,2.34,15.9419,0.0113,0.0034,4.0476,NA,NA,NA,NA,NA
"glass",2,3.5909,7.2153,9.689,0.581,12.7383,0.0115,0.0034,3.8117,NA,NA,NA,NA,NA
"glass",3,3.6063,7.5598,11.0359,1.32,14.8916,0.0121,0.0034,4.3063,NA,NA,NA,NA,NA
"glass",4,3.8021,7.995,11.7736,0.334,15.0788,0.0122,0.0035,4.4782,NA,NA,NA,NA,NA
"glass",5,3.6189,7.7044,11.971,0.951,15.8425,0.0116,0.0034,4.2279,NA,NA,NA,NA,NA
"glass",6,4.0002,7.9691,10.7345,0.735,14.0983,0.0125,0.0034,4.2925,NA,NA,NA,NA,NA
"glass",7,3.4629,7.0321,9.9208,0.623,13.1244,0.0115,0.0034,4.0978,NA,NA,NA,NA,NA
"glass",8,3.5692,7.6704,10.2553,1.065,13.7089,0.0119,0.0036,4.2746,NA,NA,NA,NA,NA
"glass",9,3.6442,8.0304,11.454,2.669,16.929,0.0126,0.0034,4.2918,NA,NA,NA,NA,NA
"glass",10,3.8053,7.9352,12.0952,1.703,16.5703,0.0127,0.0034,4.4523,NA,NA,NA,NA,NA
