"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"hypothyroid",1,5.1633,48.4587,53.6247,55.775,186.9612,0.057,0.0361,46.6744,NA,NA,NA,NA,NA
"hypothyroid",2,4.9329,44.3705,54.7028,142.607,271.3283,0.054,0.0353,44.3791,NA,NA,NA,NA,NA
"hypothyroid",3,4.9581,49.9104,49.7479,108.251,229.4793,0.0577,0.0396,45.6046,NA,NA,NA,NA,NA
"hypothyroid",4,4.7067,46.2813,56.767,23.592,159.6576,0.058,0.031,47.4866,NA,NA,NA,NA,NA
"hypothyroid",5,4.5835,50.0559,53.7585,56.543,187.6906,0.0582,0.0353,40.8587,NA,NA,NA,NA,NA
"hypothyroid",6,4.5092,54.1424,55.19,56.236,189.8742,0.0568,0.0309,42.0808,NA,NA,NA,NA,NA
"hypothyroid",7,3.6691,46.4293,53.8993,14.452,140.5971,0.0514,0.0219,40.6192,NA,NA,NA,NA,NA
"hypothyroid",8,5.0852,51.1119,49.8864,64.775,187.2224,0.0599,0.0404,37.1837,NA,NA,NA,NA,NA
"hypothyroid",9,4.425,48.8147,51.5094,55.749,179.2722,0.0576,0.0304,36.726,NA,NA,NA,NA,NA
"hypothyroid",10,5.0308,54.2074,55.951,314.464,451.0306,0.0558,0.0361,43.2552,NA,NA,NA,NA,NA
