"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect"
"pageblocks",1,"train","all","PreSelectedRules",0.974680240146176,0.860098902502226,0.882095443650664,0.858514735569765,0.980800432666306,0.874866984390998,0.906636778125215,0.882472130332991,0.804511278195489,0.67079174166803,0.684548355424644,0.63573883161512
"pageblocks",1,"train","covered","PreSelectedRules",0.977877271530155,0.860831952660894,0.894575185967705,0.864094802695152,0.982857142857143,0.875332783619461,0.91518075564012,0.886368626174812,0.827868852459016,0.681370739510274,0.742032967032967,0.659210353435817
"pageblocks",1,"train","notcovered","PreSelectedRules",0.617647058823529,0.617647058823529,0.5,0.763636363636364,0.652173913043478,0.652173913043478,0.5,0.789473684210526,0.545454545454545,0.545454545454545,0.5,0.705882352941176
"pageblocks",1,"test","all","PreSelectedRules",0.966504263093788,0.811775064007457,0.862926655879978,0.813199671436222,0.977917981072555,0.866605036170254,0.906991138363072,0.874000521317235,0.649122807017544,0.435230352303523,0.636762360446571,0.528334956183057
"pageblocks",1,"test","covered","PreSelectedRules",0.969400244798042,0.812437961472011,0.874153757888698,0.818302718302718,0.979734008866371,0.867017364348761,0.914212992889463,0.877389997621976,0.672727272727273,0.442735042735043,0.720095693779904,0.553779553779554
"pageblocks",1,"test","notcovered","PreSelectedRules",0.375,0.375,0.5,0.545454545454545,0.5,0.5,0.5,0.666666666666667,0,0,0,NA
"pageblocks",1,"train","all","OptimalRules",0.965805272774732,0.936770337162604,0.548439974646382,0.924184387141645,0.972417522985398,0.949185536785703,0.556310446542093,0.937160971284428,0.781954887218045,0.79532403609516,0.578988708885616,0.778980278980279
"pageblocks",1,"train","covered","OptimalRules",0.984341252699784,0.94350904693053,0.747466705269253,0.967660577403154,0.98858574610245,0.955008502134843,0.748143196672608,0.974754549681929,0.848214285714286,0.827621483375959,0.721590909090909,0.874652108756155
"pageblocks",1,"train","notcovered","OptimalRules",0.425196850393701,0.425196850393701,0.2,0.596685082872928,0.424528301886792,0.424528301886792,0.2,0.596026490066225,0.428571428571429,0.428571428571429,0.25,0.6
"pageblocks",1,"test","all","OptimalRules",0.964677222898904,0.940215898768405,0.566962030232097,0.942243250576584,0.975394321766561,0.954699940208327,0.581761728201359,0.962043142682728,0.666666666666667,0.707482993197279,0.473684210526316,0.636604774535809
