"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"vowel",1,19.4031,54.3718,198.6616,6.779,188.0651,0.0669,0.0127,14.3145,NA,NA,NA,NA,NA
"vowel",2,19.5648,51.8068,210.7119,39.777,230.744,0.0686,0.0127,15.0148,NA,NA,NA,NA,NA
"vowel",3,19.0117,50.2982,203.4519,39.421,224.5735,0.0671,0.0129,14.8423,NA,NA,NA,NA,NA
"vowel",4,19.0091,51.8851,211.7231,35.217,228.3422,0.0672,0.0125,15.94,NA,NA,NA,NA,NA
"vowel",5,18.7926,49.2131,197.1548,32.123,212.4939,0.0664,0.013,13.8571,NA,NA,NA,NA,NA
"vowel",6,19.4164,49.884,201.7621,29.172,211.7227,0.0673,0.0132,14.4059,NA,NA,NA,NA,NA
"vowel",7,19.7066,49.4898,201.688,24.202,208.877,0.0681,0.0127,14.1738,NA,NA,NA,NA,NA
"vowel",8,19.8247,48.2058,193.6571,15.612,189.0524,0.0674,0.0125,13.3309,NA,NA,NA,NA,NA
"vowel",9,18.9931,49.2237,207.4621,8.057,194.909,0.0709,0.0128,14.5399,NA,NA,NA,NA,NA
"vowel",10,18.8995,48.0301,196.2041,23.083,200.1246,0.0685,0.0128,13.5536,NA,NA,NA,NA,NA
