"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"texture",1,0.01,0.025,0.9752,0.0491,0.0589,0.489,"Optimal",416.61,799.1575,689,76
"texture",2,0.01,0.025,0.9752,0.0517,0.0612,0.4445,"Optimal",55.04,451.4819,699,72
"texture",3,0.01,0.025,0.9751,0.0506,0.0605,0.366,"Optimal",42.168,430.4912,698,72
"texture",4,0.01,0.025,0.9752,0.0465,0.0564,0.4706,"Optimal",338.208,713.6725,688,85
"texture",5,0.01,0.025,0.975,0.0475,0.0575,0.4594,"Optimal",1105.619,1512.183,708,88
"texture",6,0.01,0.025,0.9752,0.0522,0.0606,0.4568,"Optimal",48.084,464.8172,747,73
"texture",7,0.01,0.025,0.9752,0.0548,0.0637,0.4959,"Optimal",105.434,499.9062,722,75
"texture",8,0.01,0.025,0.9751,0.0444,0.0541,0.4875,"Optimal",1189.813,1599.1504,708,86
"texture",9,0.01,0.025,0.975,0.0506,0.0605,0.5,"Optimal",2134.489,2564.4935,746,88
"texture",10,0.01,0.025,0.9752,0.0468,0.0567,0.4109,"Optimal",164.617,577.2847,729,81
