"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"texture",1,100,17371,689,76,15,9,7,16,NA,NA,NA,NA,NA
"texture",2,100,17385,699,72,14,9,7,16,NA,NA,NA,NA,NA
"texture",3,100,17218,698,72,18,9,6,17,NA,NA,NA,NA,NA
"texture",4,100,17189,688,85,15,10,5,16,NA,NA,NA,NA,NA
"texture",5,100,17180,708,88,20,9,6,16,NA,NA,NA,NA,NA
"texture",6,100,17509,747,73,14,13,8,14,NA,NA,NA,NA,NA
"texture",7,100,17500,722,75,14,9,6,15,NA,NA,NA,NA,NA
"texture",8,100,17279,708,86,17,10,6,16,NA,NA,NA,NA,NA
"texture",9,100,17379,746,88,18,9,7,15,NA,NA,NA,NA,NA
"texture",10,100,17084,729,81,14,10,6,17,NA,NA,NA,NA,NA
