"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"vowel",1,0.01,0.025,0.9762,0.0274,0.0365,0.3075,"Optimal",6.779,188.0651,1448,114
"vowel",2,0.01,0.025,0.9762,0.0361,0.0457,0.2698,"Optimal",39.777,230.744,1529,110
"vowel",3,0.01,0.025,0.9764,0.0303,0.0393,0.2508,"Optimal",39.421,224.5735,1463,110
"vowel",4,0.01,0.025,0.9764,0.0202,0.0287,0.2935,"Optimal",35.217,228.3422,1530,110
"vowel",5,0.01,0.025,0.9763,0.0245,0.0334,0.3323,"Optimal",32.123,212.4939,1425,112
"vowel",6,0.01,0.025,0.9764,0.0332,0.0439,0.2602,"Optimal",29.172,211.7227,1451,103
"vowel",7,0.01,0.025,0.9751,0.0202,0.03,0.3363,"Optimal",24.202,208.877,1444,113
"vowel",8,0.01,0.025,0.9762,0.0274,0.0365,0.2588,"Optimal",15.612,189.0524,1399,111
"vowel",9,0.01,0.025,0.9752,0.026,0.0359,0.262,"Optimal",8.057,194.909,1494,111
"vowel",10,0.01,0.025,0.9764,0.0289,0.0378,0.2466,"Optimal",23.083,200.1246,1432,101
