"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"Iris",1,0.01,0.025,0.981,0,0.0097,0.3689,"Optimal",0.243,2.5351,122,5
"Iris",2,0.01,0.025,0.9905,0,0.0096,0,"Optimal",0.017,1.9027,106,3
"Iris",3,0.01,0.025,1,0.019,0.0286,0.1905,"Optimal",0.044,2.4843,136,4
"Iris",4,0.01,0.025,0.9905,0.019,0.0288,0.3558,"Optimal",0.399,2.906,140,5
"Iris",5,0.01,0.025,0.981,0.019,0.0194,0,"Optimal",0.026,2.3129,129,3
"Iris",6,0.01,0.025,0.9905,0.0286,0.0385,0,"Optimal",0.024,2.59,143,3
"Iris",7,0.01,0.025,0.981,0.0095,0.0194,0,"Optimal",0.026,2.0734,116,3
"Iris",8,0.01,0.025,0.9905,0.019,0.0288,0.2404,"Optimal",0.045,2.4216,135,4
"Iris",9,0.01,0.025,0.981,0,0.0097,0.2039,"Optimal",0.112,2.7908,151,5
"Iris",10,0.01,0.025,0.9905,0.019,0.0288,0,"Optimal",0.02,2.073,116,3
