"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"banknote",1,0.01,0.025,0.976,0.0302,0.0395,0.1089,"Optimal",0.346,30.4767,190,7
"banknote",2,0.01,0.025,0.9812,0.0281,0.0361,0.2229,"Optimal",0.816,32.1366,199,8
"banknote",3,0.01,0.025,0.976,0.0271,0.0267,0.334,"Optimal",0.961,29.5049,178,8
"banknote",4,0.01,0.025,0.976,0.0177,0.0267,0.2999,"Optimal",0.605,30.601,190,8
"banknote",5,0.01,0.025,0.975,0.0292,0.0374,0.2105,"Optimal",1.369,31.3098,190,8
"banknote",6,0.01,0.025,0.9771,0.0281,0.0288,0.3241,"Optimal",0.961,31.5361,194,8
"banknote",7,0.01,0.025,0.975,0.0312,0.0278,0.2308,"Optimal",0.935,28.9892,178,8
"banknote",8,0.01,0.025,0.9854,0.0229,0.0317,0.2474,"Optimal",1.298,29.7896,180,8
"banknote",9,0.01,0.025,0.975,0.0354,0.0417,0.156,"Optimal",0.365,29.7056,186,7
"banknote",10,0.01,0.025,0.976,0.0292,0.032,0.3618,"Optimal",0.829,29.2287,177,9
