"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"thyroid",1,"CBA",3.72,1,4,4,4,4
"thyroid",1,"RIPPER",2.6,1,2,2,4,4
"thyroid",2,"CBA",3.68,1,4,4,4,4
"thyroid",2,"RIPPER",3,2,2.5,3,3,5
"thyroid",3,"CBA",3.8,1,4,4,4,4
"thyroid",3,"RIPPER",3,1,2,3,4,5
"thyroid",4,"CBA",3.73,1,4,4,4,4
"thyroid",4,"RIPPER",3.29,2,2,3,3.5,7
"thyroid",5,"CBA",3.65,1,3,4,4,4
"thyroid",5,"RIPPER",3.25,2,2,2.5,3.75,6
"thyroid",6,"CBA",3.75,1,4,4,4,4
"thyroid",6,"RIPPER",3,2,2.5,3,3.5,4
"thyroid",7,"CBA",3.76,1,4,4,4,4
"thyroid",7,"RIPPER",3.29,2,2.5,3,4,5
"thyroid",8,"CBA",3.74,1,4,4,4,4
"thyroid",8,"RIPPER",2.75,1,2,2.5,3.25,5
"thyroid",9,"CBA",3.66,1,4,4,4,4
"thyroid",9,"RIPPER",3,2,2,2,3.5,5
"thyroid",10,"CBA",3.71,1,4,4,4,4
"thyroid",10,"RIPPER",3,2,2,2,4,5
